%id dbang dbang_rank
320803 307 1
320802 490 2
320804 662 3
320204 925 4
320801 1051 5
320701 1096 6
320805 1113 7
320104 1150 8
320107 1158 9
320110 1248 10
321302 1456 11
320111 1512 12
320106 1558 13
323703 1666 14
321301 1727 15
320103 1835 16
320702 1889 17
320203 1964 18
320108 1979 19
320105 2032 20
320102 2138 21
320401 2160 22
321303 2344 23
320112 2376 24
320109 2382 25
320201 2405 26
320101 2542 27
323701 2578 28
323702 2657 29
320703 2687 30
321801 2781 31
321501 2798 32
321802 2823 33
320405 2876 34
320202 2941 35
320404 3009 36
321601 3079 37
320403 3432 38
322004 3451 39
322504 3499 40
323704 3655 41
320402 3756 42
321804 3786 43
321502 3799 44
320704 3850 45
322802 4018 46
320206 4050 47
321401 4063 48
322005 4333 49
322501 4398 50
321602 4476 51
321503 4742 52
321803 4995 53
322801 5111 54
322803 5116 55
322503 5124 56
323102 5253 57
322006 5623 58
322007 5701 59
322502 5714 60
321703 5805 61
321504 5835 62
321505 6147 63
323103 6166 64
322210 6215 65
321901 6378 66
323101 6483 67
322209 6536 68
321203 6597 69
321701 7010 70
323502 7052 71
323301 7069 72
322901 7072 73
240302 7232 74
322206 7508 75
321204 7574 76
321702 7643 77
322207 7941 78
570403 8037 79
323302 8192 80
321704 8293 81
321902 8501 82
322402 8534 83
322401 8972 84
570410 9057 85
323501 9130 86
240108 9135 87
323303 9185 88
570405 9219 89
240306 9333 90
322202 9339 91
323504 9510 92
322201 9650 93
323001 9669 94
321904 9877 95
570402 10032 96
240303 10122 97
570408 10305 98
240308 10337 99
321907 10420 100
321905 10833 101
322208 10883 102
570404 10939 103
320602 11066 104
321903 11276 105
322403 11301 106
240304 11482 107
240106 11829 108
570415 12107 109
570416 12511 110
323204 12630 111
323801 13077 112
240305 13113 113
322204 13192 114
320905 13433 115
322203 13466 116
323503 13578 117
320601 13736 118
570412 13858 119
322205 14107 120
240503 14117 121
240104 14296 122
320608 14413 123
240307 14536 124
240109 14670 125
322404 14722 126
320904 14744 127
570108 14859 128
570407 14949 129
240501 15241 130
323603 15312 131
322301 15407 132
322104 15762 133
570105 15888 134
570112 15940 135
323802 16049 136
320502 16097 137
323202 16354 138
322701 16484 139
240605 16857 140
321908 16895 141
570503 16958 142
570110 16988 143
321906 17408 144
322107 17480 145
240309 18060 146
240602 18074 147
323201 18242 148
240611 18301 149
570504 18653 150
240506 18905 151
240504 18943 152
322302 19017 153
322703 19053 154
570505 19064 155
570117 19203 156
240502 19301 157
322303 19313 158
322702 19334 159
240404 19545 160
323601 19688 161
320503 19729 162
320508 19772 163
570109 19879 164
240407 19958 165
240608 20257 166
570302 20325 167
240607 20426 168
323203 20500 169
240604 20570 170
323602 20956 171
322105 22135 172
321102 22355 173
190602 22435 174
321003 22451 175
570502 22527 176
590113 22578 177
570501 22888 178
320509 22964 179
240505 23142 180
190609 23206 181
321001 23426 182
320505 23682 183
590203 23961 184
590208 24182 185
280104 24194 186
240407 24205 187
190703 24275 188
240402 24426 189
280103 24488 190
280112 24617 191
240406 24786 192
570306 24935 193
321007 25096 194
240405 25112 195
570111 25224 196
280114 25246 197
570301 25281 198
190611 25661 199
240603 25736 200
321101 25906 201
590105 25921 202
321103 26039 203
190614 26069 204
280502 26105 205
240403 26150 206
280102 26433 207
280105 27279 208
321004 27405 209
590202 27443 210
590117 27533 211
240205 27668 212
190606 27879 213
280107 28183 214
280402 28418 215
570309 28517 216
190702 28633 217
321002 28748 218
590205 28776 219
321005 29021 220
280110 29026 221
590110 29118 222
280108 29271 223
240207 29332 224
280506 29414 225
190607 29495 226
570303 29655 227
190701 29663 228
190613 29964 229
190608 30048 230
590204 30264 231
190612 30393 232
190615 30411 233
590106 30500 234
190417 30775 235
280113 30988 236
240203 31167 237
280111 31373 238
280406 31530 239
280109 31675 240
570304 31753 241
570307 31876 242
321006 32123 243
280608 32192 244
321104 32611 245
190601 32699 246
280602 32721 247
280504 32804 248
570308 33068 249
321105 33210 250
190405 33228 251
280106 33269 252
190406 33283 253
190419 33409 254
190402 33419 255
590206 33441 256
280404 33458 257
590207 33672 258
280611 33767 259
190426 34181 260
190421 34221 261
190610 34306 262
590114 34336 263
590108 34615 264
280303 34620 265
280604 34667 266
320305 34722 267
320306 35070 268
320307 35099 269
190604 35106 270
190401 35126 271
190505 35211 272
280501 35576 273
190412 35876 274
570305 35955 275
590209 36058 276
190410 36088 277
190425 36099 278
321106 36195 279
280610 36335 280
280403 36620 281
280407 36826 282
190408 36929 283
240206 36987 284
320303 37157 285
280601 37160 286
280609 37178 287
590107 37319 288
190418 37479 289
280401 37529 290
240202 37639 291
190411 37929 292
280603 38221 293
590309 38275 294
190420 38326 295
590307 38368 296
190511 38397 297
320308 38541 298
590115 38551 299
190407 38786 300
190603 38889 301
570205 38959 302
280607 39018 303
590302 39050 304
190413 39104 305
190513 39426 306
190422 39505 307
320302 39729 308
280605 39831 309
280606 39834 310
590114 39976 311
190409 39986 312
190423 40197 313
280405 40581 314
570201 40881 315
320301 40895 316
570208 41035 317
190427 41342 318
280202 41380 319
320304 41393 320
590111 41404 321
330506 41516 322
070106 41581 323
240201 41626 324
190502 41651 325
190404 41762 326
190415 41870 327
280505 41879 328
330510 42111 329
190414 42191 330
590303 42229 331
570202 42448 332
280203 42520 333
330516 43167 334
190304 43170 335
590118 43187 336
330518 43369 337
570207 43453 338
240204 43454 339
590311 43714 340
280206 44129 341
190510 44354 342
331305 44406 343
190107 44437 344
590308 44486 345
190121 44627 346
190509 44920 347
190303 44931 348
570203 44938 349
570206 45477 350
330509 45506 351
330519 45540 352
590116 45546 353
070107 45562 354
280204 45779 355
190106 46205 356
070105 46272 357
190302 46334 358
330806 46407 359
190605 46408 360
190112 46805 361
331405 46867 362
331303 47323 363
590301 47371 364
570204 47435 365
590112 47439 366
190501 47485 367
070308 47619 368
190306 47814 369
280507 47847 370
190104 47986 371
330520 48066 372
190102 48269 373
070305 48333 374
331304 48340 375
190109 48500 376
190125 48633 377
070409 48782 378
070407 48925 379
330502 49081 380
190114 49116 381
330809 49119 382
070502 49197 383
280503 49242 384
590315 49398 385
070402 49846 386
