%id dtp6 dtp6_rank
320803 307 1
320802 490 2
320804 662 3
320204 925 4
050101 970 5
210101 976 6
320801 1051 7
320701 1096 8
320805 1113 9
320104 1150 10
320107 1158 11
320110 1248 12
321302 1456 13
320111 1512 14
320106 1558 15
323703 1666 16
321301 1727 17
320103 1835 18
320702 1889 19
320203 1964 20
320108 1979 21
320105 2032 22
320102 2138 23
320401 2160 24
321303 2344 25
320112 2376 26
320109 2382 27
320201 2405 28
320101 2542 29
323701 2578 30
323702 2657 31
320703 2687 32
230107 2743 33
321801 2781 34
321501 2798 35
321802 2823 36
710109 2853 37
320405 2876 38
320202 2941 39
130116 2989 40
210117 3002 41
320404 3009 42
321601 3079 43
130115 3093 44
320403 3432 45
322004 3451 46
322504 3499 47
230117 3517 48
130108 3599 49
323704 3655 50
320402 3756 51
321804 3786 52
321502 3799 53
320704 3850 54
712017 3904 55
322802 4018 56
320206 4050 57
321401 4063 58
322005 4333 59
322501 4398 60
321602 4476 61
230104 4571 62
321503 4742 63
321803 4995 64
322801 5111 65
322803 5116 66
322503 5124 67
323102 5253 68
131210 5450 69
130109 5568 70
131309 5569 71
322006 5623 72
322007 5701 73
322502 5714 74
321703 5805 75
710106 5812 76
321504 5835 77
230106 5958 78
131504 6111 79
050115 6136 80
321505 6147 81
323103 6166 82
322210 6215 83
131511 6314 84
321901 6378 85
210110 6436 86
323101 6483 87
322209 6536 88
230109 6541 89
131507 6574 90
321203 6597 91
050114 6631 92
230113 6656 93
210112 6830 94
130114 6942 95
210113 6977 96
210116 6997 97
321701 7010 98
323502 7052 99
323301 7069 100
322901 7072 101
240302 7232 102
050122 7237 103
230103 7385 104
130107 7423 105
322206 7508 106
131508 7523 107
321204 7574 108
710104 7624 109
321702 7643 110
131310 7653 111
130412 7716 112
230102 7802 113
230116 7901 114
130112 7915 115
322207 7941 116
712018 7967 117
570403 8037 118
323302 8192 119
050113 8215 120
321704 8293 121
210111 8298 122
210107 8406 123
321902 8501 124
210115 8532 125
322402 8534 126
712019 8673 127
210104 8894 128
322401 8972 129
570410 9057 130
323501 9130 131
240108 9135 132
323303 9185 133
570405 9219 134
131606 9311 135
240306 9333 136
322202 9339 137
210106 9439 138
323504 9510 139
130903 9557 140
322201 9650 141
323001 9669 142
131505 9802 143
321904 9877 144
570402 10032 145
240303 10122 146
131608 10132 147
130413 10157 148
131307 10293 149
570408 10305 150
240308 10337 151
230105 10391 152
321907 10420 153
050103 10604 154
230108 10668 155
131605 10782 156
321905 10833 157
710111 10853 158
322208 10883 159
570404 10939 160
131512 10964 161
320602 11066 162
130407 11123 163
230111 11168 164
131604 11201 165
210114 11213 166
321903 11276 167
322403 11301 168
712004 11375 169
240304 11482 170
130402 11568 171
131503 11580 172
050121 11674 173
131201 11720 174
240106 11829 175
210108 11886 176
050120 11897 177
712008 11981 178
210109 12024 179
050102 12073 180
710103 12074 181
570415 12107 182
712010 12409 183
210119 12451 184
570416 12511 185
131510 12599 186
131208 12605 187
323204 12630 188
230112 12637 189
130406 12656 190
230114 12707 191
230110 12791 192
230206 12825 193
130906 12890 194
130911 12958 195
230207 13012 196
323801 13077 197
240305 13113 198
322204 13192 199
131502 13199 200
130403 13387 201
320905 13433 202
322203 13466 203
323503 13578 204
050104 13580 205
710102 13658 206
320601 13736 207
131602 13762 208
570412 13858 209
050109 13890 210
712011 13920 211
131206 14028 212
322205 14107 213
240503 14117 214
131506 14150 215
710113 14198 216
710114 14278 217
240104 14296 218
320608 14413 219
231103 14447 220
240307 14536 221
240109 14670 222
510111 14691 223
322404 14722 224
050108 14737 225
320904 14744 226
570108 14859 227
131607 14930 228
570407 14949 229
130411 15045 230
240501 15241 231
323603 15312 232
322301 15407 233
131303 15537 234
210103 15609 235
230703 15743 236
322104 15762 237
131601 15768 238
050117 15794 239
131302 15831 240
570105 15888 241
210105 15907 242
570112 15940 243
210201 15996 244
323802 16049 245
320502 16097 246
131603 16190 247
130409 16208 248
051604 16246 249
210118 16265 250
130907 16282 251
230201 16336 252
323202 16354 253
230305 16466 254
322701 16484 255
210102 16576 256
131509 16758 257
131311 16772 258
710112 16821 259
420308 16853 260
240605 16857 261
321908 16895 262
570503 16958 263
131202 16981 264
570110 16988 265
420303 17097 266
050106 17292 267
210606 17294 268
230303 17305 269
321906 17408 270
131610 17436 271
322107 17480 272
211002 17567 273
510106 17710 274
210603 17717 275
230202 17754 276
131312 17756 277
712002 17943 278
210802 18009 279
231102 18012 281
712006 18012 281
050509 18042 282
240309 18060 283
240602 18074 284
323201 18242 285
240611 18301 286
420402 18471 287
570504 18653 288
130404 18727 289
712012 18748 290
210804 18835 291
230208 18861 292
240506 18905 293
240504 18943 294
322302 19017 295
322703 19053 296
570505 19064 297
130909 19068 298
570117 19203 299
240502 19301 300
322303 19313 301
322702 19334 302
230711 19420 303
240404 19545 304
131209 19605 305
323601 19688 306
051503 19725 307
320503 19729 308
050116 19730 309
051602 19752 310
712903 19755 311
320508 19772 312
130904 19846 313
712007 19849 314
510113 19869 315
570109 19879 316
420305 19880 317
210203 19927 318
240407 19958 319
131410 20052 320
230115 20054 321
050513 20063 322
230710 20198 323
240608 20257 324
570302 20325 325
240607 20426 326
230307 20428 327
323203 20500 328
210202 20518 329
211011 20558 330
240604 20570 331
230203 20726 332
323602 20956 333
510702 21038 334
710405 21227 335
131403 21246 336
231104 21275 337
211417 21511 338
420406 21611 339
230709 21711 340
211804 21823 341
530320 21830 342
230309 21889 343
051501 21964 344
510701 21969 345
211805 22033 346
322105 22135 347
130905 22335 348
211106 22348 349
321102 22355 350
050508 22407 351
190602 22435 352
321003 22451 353
570502 22527 354
590113 22578 355
050605 22792 356
131401 22826 357
051603 22837 359
131305 22837 359
712901 22885 360
570501 22888 361
052103 22912 362
130910 22949 363
320509 22964 364
710414 23011 365
713516 23067 366
240505 23142 367
530318 23200 368
190609 23206 369
712807 23338 370
211103 23389 371
130408 23406 372
321001 23426 373
210806 23452 374
230505 23631 375
510109 23651 376
210204 23663 377
320505 23682 378
211004 23738 379
712902 23799 380
420407 23818 381
131411 23849 382
230702 23880 383
590203 23961 384
711607 24175 385
590208 24182 386
