  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.033179,0.000000,0.031711,0.023256,0.030753,0.021277,0.030035,0.020408,0.028613,0.022742
 7010607,0.046529,0.044444,0.031277,0.050000,0.030414,0.020408,0.028738,0.014184,0.027829,0.001160
 7010701,0.030196,0.055556,0.028050,0.000000,0.027215,0.107143,0.026748,0.060976,0.026535,0.067727
 7010810,0.022384,0.000000,0.023887,0.000000,0.024752,0.000000,0.025477,0.000000,0.025927,0.003062
 7010813,0.032947,0.184783,0.049599,0.178947,0.030656,0.097561,0.029575,0.000000,0.045441,0.156915
 7010905,0.032088,0.027027,0.049599,0.011494,0.044483,0.000000,0.044933,0.000000,0.045441,0.001744
 7010913,0.046529,0.000000,0.049599,0.027397,0.044483,0.000000,0.044933,0.000000,0.045441,0.060579
 7011001,0.046529,0.000000,0.025392,0.037500,0.025629,0.022989,0.044933,0.000000,0.026314,0.026327
 7011002,0.029635,0.000000,0.027582,0.031496,0.026824,0.000000,0.044933,0.000000,0.045441,0.058570
 7011003,0.031502,0.000000,0.029148,0.041237,0.027801,0.000000,0.044933,0.000000,0.045441,0.025702
 7011008,0.046529,0.000000,0.025260,0.000000,0.025531,0.040541,0.044933,0.000000,0.045441,0.001691
 7011009,0.031895,0.000000,0.031022,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.018429
 7011010,0.032848,0.000000,0.031518,0.000000,0.030631,0.000000,0.044933,0.000000,0.028131,0.027323
 7011011,0.031715,0.043478,0.030326,0.027027,0.044483,0.000000,0.044933,0.000000,0.045441,0.028710
 7011201,0.032647,0.042254,0.031425,0.000000,0.044483,0.054054,0.044933,0.000000,0.028140,0.059280
 7011202,0.034509,0.031250,0.032444,0.000000,0.044483,0.073529,0.030275,0.000000,0.045441,0.081641
 7011203,0.034209,0.033898,0.032273,0.116667,0.044483,0.032787,0.044933,0.000000,0.045441,0.261628
 7011208,0.032739,0.000000,0.049599,0.000000,0.044483,0.014925,0.044933,0.014493,0.045441,0.015288
 7011212,0.032678,0.080000,0.031446,0.123457,0.044483,0.045872,0.044933,0.040984,0.045441,0.040911
 7011301,0.046529,0.026667,0.049599,0.029412,0.044483,0.000000,0.044933,0.000000,0.028199,0.001972
 7011307,0.046529,0.000000,0.031263,0.000000,0.030124,0.000000,0.028501,0.000000,0.027615,0.003931
 7011403,0.032570,0.000000,0.031395,0.055556,0.044483,0.095238,0.044933,0.000000,0.045441,0.004994
 7011407,0.046529,0.000000,0.032053,0.000000,0.044483,0.028436,0.044933,0.000000,0.045441,0.001295
 7011409,0.046529,0.026667,0.049599,0.041667,0.044483,0.063492,0.044933,0.070175,0.045441,0.791150
 7011505,0.046529,0.000000,0.049599,0.000000,0.044483,0.033333,0.044933,0.000000,0.045441,0.133192
 7011601,0.031982,0.075758,0.049599,0.000000,0.029159,0.075758,0.044933,0.000000,0.045441,0.072478
 7011602,0.029125,0.072289,0.049599,0.033333,0.026876,0.019417,0.044933,0.000000,0.045441,0.111331
 7011702,0.033586,0.033333,0.031934,0.028571,0.030864,0.000000,0.030108,0.026316,0.029097,0.023665
 7011708,0.032556,0.066667,0.031373,0.086420,0.044483,0.076923,0.044933,0.089744,0.045441,0.074942
 7011710,0.027083,0.000000,0.026368,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.005148
 7011805,0.032818,0.000000,0.031527,0.023256,0.044483,0.027523,0.044933,0.107143,0.045441,0.023665
 7011907,0.046529,0.032258,0.049599,0.030303,0.044483,0.023256,0.027411,0.000000,0.045441,0.467259
 7020901,0.033191,0.145299,0.031724,0.100840,0.030746,0.081081,0.044933,0.072727,0.045441,0.072731
 7020902,0.032308,0.024096,0.031248,0.012195,0.030111,0.000000,0.044933,0.000000,0.045441,0.001861
 7020903,0.031800,0.000000,0.049599,0.000000,0.044483,0.000000,0.044933,0.063492,0.045441,0.066895
 7021106,0.033113,0.000000,0.049599,0.000000,0.044483,0.016129,0.044933,0.067797,0.045441,0.019031
 7040506,0.032992,0.113208,0.031600,0.037288,0.030695,0.091667,0.044933,0.091667,0.028383,0.777340
 7040509,0.046529,0.060606,0.029960,0.000000,0.028174,0.000000,0.044933,0.000000,0.027084,0.013837
 7040511,0.032760,0.027027,0.031480,0.000000,0.030625,0.000000,0.044933,0.000000,0.045441,0.059877
 7040601,0.046529,0.014493,0.049599,0.007143,0.044483,0.000000,0.044933,0.000000,0.045441,0.901915
 7040606,0.046529,0.065574,0.049599,0.016393,0.044483,0.016129,0.044933,0.000000,0.045441,0.828087
 7040608,0.046529,0.000000,0.031062,0.000000,0.029184,0.000000,0.027934,0.000000,0.027334,0.774971
 7040702,0.032011,0.019608,0.049599,0.045752,0.044483,0.031056,0.044933,0.000000,0.045441,0.043678
 7040801,0.046529,0.000000,0.049599,0.041667,0.044483,0.000000,0.030057,0.000000,0.028647,0.003442
 7040803,0.046529,0.000000,0.049599,0.000000,0.044483,0.013699,0.044933,0.000000,0.045441,0.030390
 7040804,0.033370,0.019608,0.049599,0.020408,0.044483,0.000000,0.044933,0.000000,0.045441,0.003062
 7040806,0.033191,0.028571,0.049599,0.016393,0.044483,0.033333,0.044933,0.000000,0.045441,0.030390
 7040903,0.033059,0.000000,0.031656,0.000000,0.030716,0.018182,0.044933,0.000000,0.045441,0.019031
 7050303,0.046529,0.020619,0.031027,0.052083,0.028875,0.000000,0.027664,0.028302,0.045441,0.001535
 7050501,0.033113,0.210526,0.049599,0.072464,0.044483,0.000000,0.029859,0.112782,0.045441,0.063826
 7050601,0.046529,0.031250,0.049599,0.000000,0.044483,0.008000,0.044933,0.000000,0.045441,0.071455
 7050602,0.032774,0.000000,0.049599,0.000000,0.044483,0.049180,0.044933,0.000000,0.045441,0.062622
 7050603,0.046529,0.000000,0.049599,0.021505,0.044483,0.020833,0.044933,0.000000,0.045441,0.033523
 7050604,0.046529,0.000000,0.049599,0.020408,0.044483,0.025641,0.044933,0.000000,0.045441,0.052476
 7050703,0.032760,0.135135,0.049599,0.012500,0.044483,0.000000,0.044933,0.000000,0.045441,0.061923
 7050704,0.032818,0.066667,0.049599,0.037736,0.030626,0.000000,0.029305,0.000000,0.028111,0.003442
 7050801,0.046529,0.102804,0.049599,0.168224,0.044483,0.000000,0.044933,0.000000,0.045441,0.001995
 7050804,0.046529,0.054688,0.049599,0.000000,0.044483,0.000000,0.044933,0.068966,0.045441,0.026769
 7050805,0.046529,0.026667,0.049599,0.000000,0.030772,0.000000,0.044933,0.000000,0.045441,0.133292
 7051003,0.033490,0.000000,0.049599,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.001726
 7051101,0.033018,0.000000,0.031616,0.021739,0.044483,0.000000,0.044933,0.000000,0.045441,0.024666
 7051102,0.046529,0.000000,0.049599,0.111111,0.044483,0.000000,0.044933,0.054054,0.045441,0.041508
 7051103,0.046529,0.000000,0.049599,0.000000,0.044483,0.000000,0.044933,0.061224,0.045441,0.021601
 7051104,0.032947,0.253731,0.049599,0.488372,0.044483,0.000000,0.044933,0.000000,0.045441,0.045816
 7051202,0.033832,0.000000,0.032067,0.015873,0.044483,0.028571,0.044933,0.015873,0.045441,0.015700
 7051203,0.033359,0.018519,0.031795,0.033898,0.044483,0.031250,0.044933,0.000000,0.045441,0.002365
 7051204,0.032774,0.000000,0.031489,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.004231
 7051205,0.032359,0.000000,0.031263,0.076923,0.044483,0.074074,0.044933,0.074074,0.045441,0.037283
 7051301,0.024526,0.011236,0.025149,0.000000,0.044483,0.000000,0.025860,0.000000,0.026243,0.029791
 7051302,0.033146,0.013986,0.031692,0.016529,0.044483,0.000000,0.044933,0.000000,0.045441,0.053276
 7051303,0.032574,0.006024,0.049599,0.000000,0.044483,0.036810,0.029049,0.000000,0.027884,0.000959
 7051304,0.026055,0.000000,0.025955,0.000000,0.044483,0.000000,0.026153,0.000000,0.026263,0.001429
 7051402,0.032088,0.000000,0.031117,0.000000,0.029758,0.050725,0.044933,0.044586,0.045441,0.044159
 7051403,0.033059,0.095652,0.031656,0.034722,0.044483,0.024845,0.044933,0.000000,0.045441,0.024324
 7051502,0.031895,0.000000,0.031022,0.006897,0.029115,0.000000,0.027858,0.000000,0.027283,0.013950
 7051504,0.031982,0.069767,0.049599,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.010386
 7051601,0.032685,0.010753,0.031451,0.040816,0.044483,0.000000,0.044933,0.000000,0.045441,0.011629
 7051602,0.033314,0.027027,0.031793,0.064935,0.044483,0.012500,0.044933,0.011905,0.045441,0.013675
 7051603,0.032088,0.048077,0.031117,0.064516,0.044483,0.067308,0.044933,0.066038,0.045441,0.060079
 7051604,0.032733,0.023256,0.031461,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.004026
 7051701,0.031923,0.000000,0.031019,0.022556,0.044483,0.022222,0.044933,0.022222,0.027364,0.057202
 7051704,0.031846,0.016529,0.030988,0.067961,0.028799,0.037037,0.044933,0.037736,0.027321,0.074727
 7060102,0.032383,0.000000,0.031283,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.001861
 7060203,0.046529,0.000000,0.049599,0.000000,0.044483,0.000000,0.044933,0.000000,0.045441,0.001113
 7060204,0.046529,0.000000,0.049599,0.080460,0.044483,0.017699,0.044933,0.008929,0.045441,0.010205
 7060205,0.031844,0.006250,0.049599,0.006098,0.044483,0.013245,0.044933,0.006803,0.045441,0.007812
 7060206,0.029635,0.040323,0.049599,0.030769,0.044483,0.026316,0.044933,0.008772,0.045441,0.010029
