  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.048112,0.000000,0.047875,0.023256,0.047638,0.021277,0.047401,0.020408,0.047163,0.022742
 7010607,0.035619,0.044444,0.038242,0.050000,0.039881,0.020408,0.040662,0.014184,0.041609,0.001160
 7010701,0.048112,0.055556,0.047875,0.000000,0.047638,0.107143,0.047401,0.060976,0.047163,0.067727
 7010810,0.013921,0.000000,0.017313,0.000000,0.020833,0.000000,0.023422,0.000000,0.026242,0.003062
 7010813,0.043685,0.184783,0.045561,0.178947,0.046308,0.097561,0.046603,0.000000,0.046843,0.156915
 7010905,0.032326,0.027027,0.035050,0.011494,0.037124,0.000000,0.038597,0.000000,0.039423,0.001744
 7010913,0.025211,0.000000,0.028579,0.027397,0.031457,0.000000,0.033360,0.000000,0.034887,0.060579
 7011001,0.048112,0.000000,0.047875,0.037500,0.047638,0.022989,0.047401,0.000000,0.047163,0.026327
 7011002,0.021400,0.000000,0.024588,0.031496,0.027668,0.000000,0.030111,0.000000,0.032440,0.058570
 7011003,0.023948,0.000000,0.027017,0.041237,0.029628,0.000000,0.031330,0.000000,0.032698,0.025702
 7011008,0.017001,0.000000,0.020506,0.000000,0.023758,0.040541,0.026716,0.000000,0.028782,0.001691
 7011009,0.029104,0.000000,0.032600,0.000000,0.035201,0.000000,0.036074,0.000000,0.037837,0.018429
 7011010,0.042294,0.000000,0.044692,0.000000,0.045356,0.000000,0.045598,0.000000,0.045796,0.027323
 7011011,0.027123,0.043478,0.030197,0.027027,0.032465,0.000000,0.034458,0.000000,0.036056,0.028710
 7011201,0.038947,0.042254,0.041482,0.000000,0.042647,0.054054,0.043655,0.000000,0.043763,0.059280
 7011202,0.048085,0.031250,0.047828,0.000000,0.047579,0.073529,0.047321,0.000000,0.047050,0.081641
 7011203,0.048072,0.033898,0.047800,0.116667,0.047511,0.032787,0.047249,0.000000,0.046999,0.261628
 7011208,0.040317,0.000000,0.042347,0.000000,0.043593,0.014925,0.044665,0.014493,0.044814,0.015288
 7011212,0.040300,0.080000,0.042333,0.123457,0.043581,0.045872,0.044654,0.040984,0.044805,0.040911
 7011301,0.048112,0.026667,0.047875,0.029412,0.047638,0.000000,0.047401,0.000000,0.047163,0.001972
 7011307,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.003931
 7011403,0.038277,0.000000,0.040688,0.055556,0.041760,0.095238,0.042666,0.000000,0.043705,0.004994
 7011407,0.048097,0.000000,0.047809,0.000000,0.047558,0.028436,0.047297,0.000000,0.047037,0.001295
 7011409,0.048112,0.026667,0.047875,0.041667,0.047638,0.063492,0.047401,0.070175,0.047163,0.791150
 7011505,0.048112,0.000000,0.047875,0.000000,0.047638,0.033333,0.047401,0.000000,0.047163,0.133192
 7011601,0.030365,0.075758,0.033408,0.000000,0.035257,0.075758,0.036125,0.000000,0.037878,0.072478
 7011602,0.020778,0.072289,0.024530,0.033333,0.027619,0.019417,0.030068,0.000000,0.032404,0.111331
 7011702,0.048088,0.033333,0.047827,0.028571,0.047576,0.000000,0.047311,0.026316,0.047033,0.023665
 7011708,0.048112,0.066667,0.047875,0.086420,0.047638,0.076923,0.047401,0.089744,0.047163,0.074942
 7011710,0.018849,0.000000,0.022116,0.000000,0.024810,0.000000,0.026928,0.000000,0.028970,0.005148
 7011805,0.041657,0.000000,0.043934,0.023256,0.045403,0.027523,0.045641,0.107143,0.045836,0.023665
 7011907,0.027116,0.032258,0.030191,0.030303,0.032461,0.023256,0.034455,0.000000,0.036055,0.467259
 7020901,0.047135,0.145299,0.047830,0.100840,0.047553,0.081081,0.047287,0.072727,0.047044,0.072731
 7020902,0.048112,0.024096,0.047875,0.012195,0.047638,0.000000,0.047401,0.000000,0.047163,0.001861
 7020903,0.027783,0.000000,0.030405,0.000000,0.032803,0.000000,0.034920,0.063492,0.036628,0.066895
 7021106,0.045761,0.000000,0.047822,0.000000,0.047556,0.016129,0.047290,0.067797,0.047047,0.019031
 7040506,0.044390,0.113208,0.046380,0.037288,0.047207,0.091667,0.047269,0.091667,0.046999,0.777340
 7040509,0.025551,0.060606,0.029067,0.000000,0.031229,0.000000,0.033139,0.000000,0.034679,0.013837
 7040511,0.040958,0.027027,0.043111,0.000000,0.044447,0.000000,0.044625,0.000000,0.044777,0.059877
 7040601,0.030365,0.014493,0.033408,0.007143,0.035257,0.000000,0.036125,0.000000,0.037878,0.901915
 7040606,0.048112,0.065574,0.047875,0.016393,0.047638,0.016129,0.047401,0.000000,0.047163,0.828087
 7040608,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.774971
 7040702,0.048112,0.019608,0.047875,0.045752,0.047638,0.031056,0.047401,0.000000,0.047163,0.043678
 7040801,0.047835,0.000000,0.047826,0.041667,0.047577,0.000000,0.047297,0.000000,0.047046,0.003442
 7040803,0.033013,0.000000,0.035856,0.000000,0.038033,0.013699,0.039583,0.000000,0.040490,0.030390
 7040804,0.048098,0.019608,0.047845,0.020408,0.047585,0.000000,0.047335,0.000000,0.047073,0.003062
 7040806,0.047135,0.028571,0.047830,0.016393,0.047553,0.033333,0.047287,0.000000,0.047044,0.030390
 7040903,0.045048,0.000000,0.047201,0.000000,0.047551,0.018182,0.047294,0.000000,0.047050,0.019031
 7050303,0.048112,0.020619,0.047875,0.052083,0.047638,0.000000,0.047401,0.028302,0.047163,0.001535
 7050501,0.045761,0.210526,0.047822,0.072464,0.047556,0.000000,0.047290,0.112782,0.047047,0.063826
 7050601,0.048112,0.031250,0.047875,0.000000,0.047638,0.008000,0.047401,0.000000,0.047163,0.071455
 7050602,0.040948,0.000000,0.043099,0.000000,0.044436,0.049180,0.044614,0.000000,0.044767,0.062622
 7050603,0.020778,0.000000,0.024530,0.021505,0.027619,0.020833,0.030068,0.000000,0.032404,0.033523
 7050604,0.048071,0.000000,0.047801,0.020408,0.047543,0.025641,0.047272,0.000000,0.047029,0.052476
 7050703,0.040958,0.135135,0.043111,0.012500,0.044447,0.000000,0.044625,0.000000,0.044777,0.061923
 7050704,0.041657,0.066667,0.043934,0.037736,0.045403,0.000000,0.045641,0.000000,0.045836,0.003442
 7050801,0.048112,0.102804,0.047875,0.168224,0.047638,0.000000,0.047401,0.000000,0.047163,0.001995
 7050804,0.043685,0.054688,0.045561,0.000000,0.046308,0.000000,0.046603,0.068966,0.046843,0.026769
 7050805,0.048078,0.026667,0.047800,0.000000,0.047544,0.000000,0.047298,0.000000,0.047039,0.133292
 7051003,0.048081,0.000000,0.047831,0.000000,0.047580,0.000000,0.047315,0.000000,0.047037,0.001726
 7051101,0.048112,0.000000,0.047875,0.021739,0.047638,0.000000,0.047401,0.000000,0.047163,0.024666
 7051102,0.048112,0.000000,0.047875,0.111111,0.047638,0.000000,0.047401,0.054054,0.047163,0.041508
 7051103,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.061224,0.047163,0.021601
 7051104,0.043685,0.253731,0.045561,0.488372,0.046308,0.000000,0.046603,0.000000,0.046843,0.045816
 7051202,0.048097,0.000000,0.047809,0.015873,0.047558,0.028571,0.047297,0.015873,0.047037,0.015700
 7051203,0.048098,0.018519,0.047845,0.033898,0.047585,0.031250,0.047335,0.000000,0.047073,0.002365
 7051204,0.040948,0.000000,0.043099,0.000000,0.044436,0.000000,0.044614,0.000000,0.044767,0.004231
 7051205,0.035631,0.000000,0.038257,0.076923,0.039896,0.074074,0.040676,0.074074,0.041623,0.037283
 7051301,0.015782,0.011236,0.018975,0.000000,0.021951,0.000000,0.024649,0.000000,0.026523,0.029791
 7051302,0.046459,0.013986,0.047812,0.016529,0.047547,0.000000,0.047282,0.000000,0.047039,0.053276
 7051303,0.038282,0.006024,0.040695,0.000000,0.041768,0.036810,0.042674,0.000000,0.043714,0.000959
 7051304,0.017619,0.000000,0.021291,0.000000,0.023847,0.000000,0.026794,0.000000,0.028851,0.001429
 7051402,0.032326,0.000000,0.035050,0.000000,0.037124,0.050725,0.038597,0.044586,0.039423,0.044159
 7051403,0.045048,0.095652,0.047201,0.034722,0.047551,0.024845,0.047294,0.000000,0.047050,0.024324
 7051502,0.029104,0.000000,0.032600,0.006897,0.035201,0.000000,0.036074,0.000000,0.037837,0.013950
 7051504,0.030365,0.069767,0.033408,0.000000,0.035257,0.000000,0.036125,0.000000,0.037878,0.010386
 7051601,0.039602,0.010753,0.042265,0.040816,0.043520,0.000000,0.044600,0.000000,0.044756,0.011629
 7051602,0.048078,0.027027,0.047800,0.064935,0.047544,0.012500,0.047298,0.011905,0.047039,0.013675
 7051603,0.032326,0.048077,0.035050,0.064516,0.037124,0.067308,0.038597,0.066038,0.039423,0.060079
 7051604,0.040954,0.023256,0.043109,0.000000,0.044447,0.000000,0.044625,0.000000,0.044777,0.004026
 7051701,0.029736,0.000000,0.032636,0.022556,0.035231,0.022222,0.036102,0.022222,0.037861,0.057202
 7051704,0.029044,0.016529,0.032549,0.067961,0.035157,0.037037,0.036034,0.037736,0.037803,0.074727
 7060102,0.035640,0.000000,0.038262,0.000000,0.039898,0.000000,0.040678,0.000000,0.041624,0.001861
 7060203,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001113
 7060204,0.048112,0.000000,0.047875,0.080460,0.047638,0.017699,0.047401,0.008929,0.047163,0.010205
 7060205,0.048112,0.006250,0.047875,0.006098,0.047638,0.013245,0.047401,0.006803,0.047163,0.007812
 7060206,0.021400,0.040323,0.024588,0.030769,0.027668,0.026316,0.030111,0.008772,0.032440,0.010029
 7060207,0.048112,0.000000,0.047875,0.000000,0.047638,0.025641,0.047401,0.020305,0.047163,0.021012
 7060208,0.048112,0.012500,0.047875,0.000000,0.047638,0.082474,0.047401,0.004566,0.047163,0.007869
 7060209,0.048112,0.012821,0.047875,0.013699,0.047638,0.000000,0.047401,0.006897,0.047163,0.007812
 7060210,0.025216,0.009259,0.028582,0.000000,0.031458,0.017241,0.033360,0.018182,0.034887,0.020192
 7060211,0.020761,0.019231,0.024515,0.000000,0.027606,0.000000,0.030057,0.000000,0.032394,0.002470
 7060212,0.031049,0.000000,0.034226,0.000000,0.036205,0.000000,0.037596,0.013333,0.037950,0.015090
 7060213,0.037583,0.000000,0.039851,0.000000,0.041670,0.000000,0.042587,0.000000,0.043639,0.097490
 7060302,0.048081,0.085859,0.047831,0.076190,0.047557,0.026906,0.047298,0.031746,0.047051,0.070358
 7060303,0.048112,0.007634,0.047875,0.068182,0.047638,0.054264,0.047401,0.062016,0.047163,0.100315
 7060304,0.048112,0.108553,0.047875,0.084337,0.047638,0.077419,0.047401,0.102041,0.047163,0.100552
 7060305,0.048112,0.033333,0.047875,0.032609,0.047638,0.032967,0.047401,0.027778,0.047163,0.041508
 7060412,0.048112,0.049383,0.047875,0.040000,0.047638,0.072917,0.047401,0.072917,0.047163,0.091973
 7060601,0.034957,0.000000,0.037468,0.129032,0.039006,0.000000,0.040649,0.000000,0.041600,0.001454
 7060604,0.048112,0.204918,0.047875,0.000000,0.047638,0.038462,0.047401,0.035971,0.047163,0.034607
 7060605,0.035631,0.057471,0.038257,0.053763,0.039896,0.058824,0.040676,0.051020,0.041623,0.021601
 7060606,0.046433,0.050955,0.047792,0.078788,0.047529,0.030303,0.047265,0.000000,0.047024,0.019632
 7060607,0.030365,0.075269,0.033408,0.096774,0.035257,0.000000,0.036125,0.000000,0.037878,0.001370
 7060608,0.030365,0.102564,0.033408,0.011364,0.035257,0.012500,0.036125,0.000000,0.037878,0.012369
 7060609,0.034957,0.080808,0.037468,0.040650,0.039006,0.028302,0.040649,0.000000,0.041600,0.022735
 7060803,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001882
 7060805,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001763
 7060806,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001247
 7060808,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001578
 7060809,0.048112,0.000000,0.047875,0.000000,0.047638,0.000000,0.047401,0.000000,0.047163,0.001266
 7060810,0.048112,0.019417,0.047875,0.000000,0.047638,0.015748,0.047401,0.030534,0.047163,0.019511
 7060811,0.022028,0.000000,0.025357,0.007407,0.027729,0.000000,0.030163,0.000000,0.032485,0.001077
 7060812,0.048112,0.000000,0.047875,0.011628,0.047638,0.000000,0.047401,0.000000,0.047163,0.001609
 7060813,0.007958,0.027397,0.011736,0.000000,0.015016,0.032258,0.017797,0.031746,0.020081,0.027323
 7070103,0.020115,0.010000,0.023708,0.000000,0.026661,0.000000,0.028998,0.000000,0.031241,0.639898
 7070109,0.014501,0.000000,0.018067,0.082192,0.020908,0.000000,0.023489,0.000000,0.026301,0.001256
 7070405,0.006850,0.012097,0.010266,0.003817,0.013248,0.000000,0.016659,0.000000,0.019857,0.000591
