  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.048910,0.000000,0.048741,0.023256,0.046902,0.021277,0.047447,0.020408,0.047108,0.022742
 7010607,0.032716,0.044444,0.031759,0.050000,0.031025,0.020408,0.030407,0.014184,0.029853,0.001160
 7010701,0.048910,0.055556,0.048741,0.000000,0.046902,0.107143,0.047447,0.060976,0.047108,0.067727
 7010810,0.025994,0.000000,0.027916,0.000000,0.029127,0.000000,0.030073,0.000000,0.029737,0.003062
 7010813,0.033149,0.184783,0.032006,0.178947,0.031157,0.097561,0.030486,0.000000,0.029896,0.156915
 7010905,0.032522,0.027027,0.031650,0.011494,0.030971,0.000000,0.030375,0.000000,0.029838,0.001744
 7010913,0.032128,0.000000,0.031430,0.027397,0.030845,0.000000,0.030311,0.000000,0.029796,0.060579
 7011001,0.048910,0.000000,0.048741,0.037500,0.046902,0.022989,0.047447,0.000000,0.047108,0.026327
 7011002,0.031929,0.000000,0.031320,0.031496,0.030788,0.000000,0.030279,0.000000,0.029780,0.058570
 7011003,0.032077,0.000000,0.031410,0.041237,0.030827,0.000000,0.030296,0.000000,0.029783,0.025702
 7011008,0.029819,0.000000,0.029982,0.000000,0.030440,0.040541,0.030231,0.000000,0.029752,0.001691
 7011009,0.032366,0.000000,0.031566,0.000000,0.030919,0.000000,0.030345,0.000000,0.029812,0.018429
 7011010,0.033056,0.000000,0.031957,0.000000,0.031136,0.000000,0.030470,0.000000,0.029883,0.027323
 7011011,0.032246,0.043478,0.031500,0.027027,0.030882,0.000000,0.030328,0.000000,0.029809,0.028710
 7011201,0.032902,0.042254,0.031854,0.000000,0.031083,0.054054,0.030439,0.000000,0.029868,0.059280
 7011202,0.034238,0.031250,0.032602,0.000000,0.031487,0.073529,0.030663,0.000000,0.029997,0.081641
 7011203,0.034075,0.033898,0.032518,0.116667,0.031451,0.032787,0.030646,0.000000,0.029982,0.261628
 7011208,0.032983,0.000000,0.031895,0.000000,0.031100,0.014925,0.030454,0.014493,0.029881,0.015288
 7011212,0.032953,0.080000,0.031895,0.123457,0.031100,0.045872,0.030454,0.040984,0.029881,0.040911
 7011301,0.048910,0.026667,0.048741,0.029412,0.046902,0.000000,0.047447,0.000000,0.047108,0.001972
 7011307,0.048910,0.000000,0.048741,0.000000,0.046902,0.000000,0.047447,0.000000,0.047108,0.003931
 7011403,0.032876,0.000000,0.031856,0.055556,0.031083,0.095238,0.030439,0.000000,0.029868,0.004994
 7011407,0.033761,0.000000,0.032335,0.000000,0.031339,0.028436,0.030582,0.000000,0.029953,0.001295
 7011409,0.048910,0.026667,0.048741,0.041667,0.046902,0.063492,0.047447,0.070175,0.047108,0.791150
 7011505,0.048910,0.000000,0.048741,0.000000,0.046902,0.033333,0.047447,0.000000,0.047108,0.133192
 7011601,0.032426,0.075758,0.031592,0.000000,0.030938,0.075758,0.030360,0.000000,0.029825,0.072478
 7011602,0.031908,0.072289,0.031319,0.033333,0.030788,0.019417,0.030278,0.000000,0.029780,0.111331
 7011702,0.033606,0.033333,0.032255,0.028571,0.031305,0.000000,0.030567,0.026316,0.029939,0.023665
 7011708,0.048910,0.066667,0.048741,0.086420,0.046902,0.076923,0.047447,0.089744,0.047108,0.074942
 7011710,0.031792,0.000000,0.031216,0.000000,0.030754,0.000000,0.030263,0.000000,0.029767,0.005148
 7011805,0.033039,0.000000,0.031939,0.023256,0.031119,0.027523,0.030455,0.107143,0.029882,0.023665
 7011907,0.032226,0.032258,0.031480,0.030303,0.030867,0.023256,0.030314,0.000000,0.029797,0.467259
 7020901,0.033320,0.145299,0.032098,0.100840,0.031213,0.081081,0.030518,0.072727,0.029910,0.072731
 7020902,0.048910,0.024096,0.048741,0.012195,0.046902,0.000000,0.047447,0.000000,0.047108,0.001861
 7020903,0.032309,0.000000,0.031541,0.000000,0.030899,0.000000,0.030343,0.063492,0.029811,0.066895
 7021106,0.033263,0.000000,0.032055,0.000000,0.031194,0.016129,0.030504,0.067797,0.029910,0.019031
 7040506,0.033174,0.113208,0.032002,0.037288,0.031155,0.091667,0.030485,0.091667,0.029896,0.777340
 7040509,0.032185,0.060606,0.031474,0.000000,0.030863,0.000000,0.030312,0.000000,0.029797,0.013837
 7040511,0.033012,0.027027,0.031921,0.000000,0.031120,0.000000,0.030456,0.000000,0.029882,0.059877
 7040601,0.032426,0.014493,0.031592,0.007143,0.030938,0.000000,0.030360,0.000000,0.029825,0.901915
 7040606,0.048910,0.065574,0.048741,0.016393,0.046902,0.016129,0.047447,0.000000,0.047108,0.828087
 7040608,0.048910,0.000000,0.048741,0.000000,0.046902,0.000000,0.047447,0.000000,0.047108,0.774971
 7040702,0.048910,0.019608,0.048741,0.045752,0.046902,0.031056,0.047447,0.000000,0.047108,0.043678
 7040801,0.033365,0.000000,0.032111,0.041667,0.031225,0.000000,0.030518,0.000000,0.029911,0.003442
 7040803,0.032578,0.000000,0.031693,0.000000,0.030990,0.013699,0.030390,0.000000,0.029839,0.030390
 7040804,0.033421,0.019608,0.032154,0.020408,0.031244,0.000000,0.030532,0.000000,0.029924,0.003062
 7040806,0.033320,0.028571,0.032098,0.016393,0.031213,0.033333,0.030518,0.000000,0.029910,0.030390
 7040903,0.033236,0.000000,0.032050,0.000000,0.031192,0.018182,0.030502,0.000000,0.029909,0.019031
 7050303,0.048910,0.020619,0.048741,0.052083,0.046902,0.000000,0.047447,0.028302,0.047108,0.001535
 7050501,0.033263,0.210526,0.032055,0.072464,0.031194,0.000000,0.030504,0.112782,0.029910,0.063826
 7050601,0.048910,0.031250,0.048741,0.000000,0.046902,0.008000,0.047447,0.000000,0.047108,0.071455
 7050602,0.033009,0.000000,0.031919,0.000000,0.031120,0.049180,0.030455,0.000000,0.029882,0.062622
 7050603,0.031908,0.000000,0.031319,0.021505,0.030788,0.020833,0.030278,0.000000,0.029780,0.033523
 7050604,0.033606,0.000000,0.032256,0.020408,0.031305,0.025641,0.030567,0.000000,0.029939,0.052476
 7050703,0.033012,0.135135,0.031921,0.012500,0.031120,0.000000,0.030456,0.000000,0.029882,0.061923
 7050704,0.033039,0.066667,0.031939,0.037736,0.031119,0.000000,0.030455,0.000000,0.029882,0.003442
 7050801,0.048910,0.102804,0.048741,0.168224,0.046902,0.000000,0.047447,0.000000,0.047108,0.001995
 7050804,0.033149,0.054688,0.032006,0.000000,0.031157,0.000000,0.030486,0.068966,0.029896,0.026769
 7050805,0.033400,0.026667,0.032139,0.000000,0.031231,0.000000,0.030520,0.000000,0.029912,0.133292
 7051003,0.033511,0.000000,0.032200,0.000000,0.031264,0.000000,0.030548,0.000000,0.029926,0.001726
 7051101,0.048910,0.000000,0.048741,0.021739,0.046902,0.000000,0.047447,0.000000,0.047108,0.024666
 7051102,0.048910,0.000000,0.048741,0.111111,0.046902,0.000000,0.047447,0.054054,0.047108,0.041508
 7051103,0.048910,0.000000,0.048741,0.000000,0.046902,0.000000,0.047447,0.061224,0.047108,0.021601
 7051104,0.033149,0.253731,0.032006,0.488372,0.031157,0.000000,0.030486,0.000000,0.029896,0.045816
 7051202,0.033761,0.000000,0.032335,0.015873,0.031339,0.028571,0.030583,0.015873,0.029953,0.015700
 7051203,0.033426,0.018519,0.032157,0.033898,0.031245,0.031250,0.030533,0.000000,0.029924,0.002365
 7051204,0.033009,0.000000,0.031919,0.000000,0.031120,0.000000,0.030455,0.000000,0.029882,0.004231
 7051205,0.032699,0.000000,0.031741,0.076923,0.031011,0.074074,0.030407,0.074074,0.029853,0.037283
 7051301,0.028736,0.011236,0.029571,0.000000,0.030116,0.000000,0.030231,0.000000,0.029752,0.029791
 7051302,0.033311,0.013986,0.032093,0.016529,0.031211,0.000000,0.030517,0.000000,0.029910,0.053276
 7051303,0.032864,0.006024,0.031849,0.000000,0.031080,0.036810,0.030438,0.000000,0.029867,0.000959
 7051304,0.030368,0.000000,0.030396,0.000000,0.030446,0.000000,0.030234,0.000000,0.029753,0.001429
 7051402,0.032522,0.000000,0.031650,0.000000,0.030971,0.050725,0.030375,0.044586,0.029838,0.044159
 7051403,0.033236,0.095652,0.032050,0.034722,0.031192,0.024845,0.030502,0.000000,0.029909,0.024324
 7051502,0.032366,0.000000,0.031566,0.006897,0.030919,0.000000,0.030345,0.000000,0.029812,0.013950
