  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.089045,0.000000,0.088673,0.023256,0.088300,0.021277,0.087926,0.020408,0.087551,0.022742
 7010701,0.089045,0.055556,0.088673,0.000000,0.088300,0.107143,0.087926,0.060976,0.087551,0.067727
 7010810,0.011379,0.000000,0.019218,0.000000,0.026481,0.000000,0.033933,0.000000,0.040757,0.003062
 7010813,0.019786,0.184783,0.029490,0.178947,0.036698,0.097561,0.043345,0.000000,0.049540,0.156915
 7011001,0.089045,0.000000,0.088673,0.037500,0.088300,0.022989,0.087926,0.000000,0.087551,0.026327
 7011002,0.013718,0.000000,0.022176,0.031496,0.029332,0.000000,0.036047,0.000000,0.041564,0.058570
 7011003,0.014352,0.000000,0.023207,0.041237,0.030715,0.000000,0.037714,0.000000,0.043460,0.025702
 7011009,0.016119,0.000000,0.025259,0.000000,0.033368,0.000000,0.039554,0.000000,0.045494,0.018429
 7011010,0.019209,0.000000,0.028531,0.000000,0.036472,0.000000,0.043146,0.000000,0.049370,0.027323
 7011011,0.015513,0.043478,0.024261,0.027027,0.032113,0.000000,0.039388,0.000000,0.045348,0.028710
 7011201,0.018606,0.042254,0.027612,0.000000,0.035302,0.054054,0.041696,0.000000,0.047700,0.059280
 7011202,0.025696,0.031250,0.035761,0.000000,0.043662,0.073529,0.050135,0.000000,0.055507,0.081641
 7011203,0.024611,0.033898,0.034735,0.116667,0.042354,0.032787,0.048605,0.000000,0.053877,0.261628
 7011208,0.019138,0.000000,0.028454,0.000000,0.036399,0.014925,0.043080,0.014493,0.049313,0.015288
 7011212,0.019113,0.080000,0.028426,0.123457,0.036374,0.045872,0.043057,0.040984,0.049292,0.040911
 7011301,0.089045,0.026667,0.088673,0.029412,0.088300,0.000000,0.087926,0.000000,0.087551,0.001972
 7011307,0.089045,0.000000,0.088673,0.000000,0.088300,0.000000,0.087926,0.000000,0.087551,0.003931
 7011403,0.018030,0.000000,0.027461,0.055556,0.035159,0.095238,0.041569,0.000000,0.047589,0.004994
 7011407,0.022824,0.000000,0.032688,0.000000,0.040750,0.028436,0.046807,0.000000,0.051937,0.001295
 7011409,0.089045,0.026667,0.088673,0.041667,0.088300,0.063492,0.087926,0.070175,0.087551,0.791150
 7011505,0.089045,0.000000,0.088673,0.000000,0.088300,0.033333,0.087926,0.000000,0.087551,0.133192
 7011601,0.016144,0.075758,0.025287,0.000000,0.033395,0.075758,0.039578,0.000000,0.045516,0.072478
 7011602,0.013207,0.072289,0.021348,0.033333,0.029234,0.019417,0.035960,0.000000,0.041488,0.111331
 7011702,0.022199,0.033333,0.031753,0.028571,0.039574,0.000000,0.045372,0.026316,0.050299,0.023665
 7011708,0.089045,0.066667,0.088673,0.086420,0.088300,0.076923,0.087926,0.089744,0.087551,0.074942
 7011710,0.012598,0.000000,0.021166,0.000000,0.029059,0.000000,0.035799,0.000000,0.041342,0.005148
 7011805,0.019209,0.000000,0.028530,0.023256,0.036472,0.027523,0.043146,0.107143,0.049370,0.023665
 7011907,0.015003,0.032258,0.023437,0.030303,0.030938,0.023256,0.037918,0.000000,0.043641,0.467259
 7020901,0.020918,0.145299,0.030507,0.100840,0.038034,0.081081,0.044931,0.072727,0.049910,0.072731
 7020902,0.089045,0.024096,0.088673,0.012195,0.088300,0.000000,0.087926,0.000000,0.087551,0.001861
 7020903,0.015538,0.000000,0.024289,0.000000,0.032140,0.000000,0.039412,0.063492,0.045370,0.066895
 7040506,0.019812,0.113208,0.029517,0.037288,0.036725,0.091667,0.043370,0.091667,0.049561,0.777340
 7040509,0.015002,0.060606,0.023437,0.000000,0.030937,0.000000,0.037918,0.000000,0.043641,0.013837
 7040601,0.016144,0.014493,0.025287,0.007143,0.033395,0.000000,0.039578,0.000000,0.045516,0.901915
 7040606,0.089045,0.065574,0.088673,0.016393,0.088300,0.016129,0.087926,0.000000,0.087551,0.828087
 7040608,0.089045,0.000000,0.088673,0.000000,0.088300,0.000000,0.087926,0.000000,0.087551,0.774971
 7040801,0.020043,0.000000,0.029487,0.041667,0.037002,0.000000,0.043901,0.000000,0.048984,0.003442
 7040804,0.021055,0.019608,0.030654,0.020408,0.038175,0.000000,0.045058,0.000000,0.050024,0.003062
 7050303,0.089045,0.020619,0.088673,0.052083,0.088300,0.000000,0.087926,0.028302,0.087551,0.001535
 7050501,0.020388,0.210526,0.029670,0.072464,0.036868,0.000000,0.043497,0.112782,0.049670,0.063826
 7050601,0.089045,0.031250,0.088673,0.000000,0.088300,0.008000,0.087926,0.000000,0.087551,0.071455
 7050602,0.019209,0.000000,0.028530,0.000000,0.036471,0.049180,0.043146,0.000000,0.049370,0.062622
 7050603,0.013207,0.000000,0.021348,0.021505,0.029234,0.020833,0.035960,0.000000,0.041488,0.033523
 7050604,0.022228,0.000000,0.031785,0.020408,0.039604,0.025641,0.045399,0.000000,0.050322,0.052476
 7050703,0.019138,0.135135,0.028454,0.012500,0.036399,0.000000,0.043081,0.000000,0.049313,0.061923
 7050704,0.019209,0.066667,0.028530,0.037736,0.036472,0.000000,0.043146,0.000000,0.049370,0.003442
 7050801,0.089045,0.102804,0.088673,0.168224,0.088300,0.000000,0.087926,0.000000,0.087551,0.001995
 7050804,0.019786,0.054688,0.029490,0.000000,0.036698,0.000000,0.043345,0.068966,0.049540,0.026769
 7051101,0.089045,0.000000,0.088673,0.021739,0.088300,0.000000,0.087926,0.000000,0.087551,0.024666
 7051102,0.089045,0.000000,0.088673,0.111111,0.088300,0.000000,0.087926,0.054054,0.087551,0.041508
 7051103,0.089045,0.000000,0.088673,0.000000,0.088300,0.000000,0.087926,0.061224,0.087551,0.021601
 7051104,0.019786,0.253731,0.029490,0.488372,0.036698,0.000000,0.043345,0.000000,0.049540,0.045816
 7051202,0.023331,0.000000,0.033565,0.015873,0.040896,0.028571,0.046934,0.015873,0.052047,0.015700
 7051203,0.021050,0.018519,0.030649,0.033898,0.038169,0.031250,0.045052,0.000000,0.050019,0.002365
 7051204,0.019209,0.000000,0.028530,0.000000,0.036471,0.000000,0.043146,0.000000,0.049370,0.004231
 7051205,0.017425,0.000000,0.026468,0.076923,0.033833,0.074074,0.039975,0.074074,0.045866,0.037283
 7051301,0.011988,0.011236,0.020156,0.000000,0.027784,0.000000,0.034218,0.000000,0.041007,0.029791
 7051302,0.020414,0.013986,0.029698,0.016529,0.036895,0.000000,0.043521,0.000000,0.049691,0.053276
 7051303,0.018030,0.006024,0.027461,0.000000,0.035159,0.036810,0.041569,0.000000,0.047588,0.000959
 7051304,0.012527,0.000000,0.021088,0.000000,0.028985,0.000000,0.035731,0.000000,0.041279,0.001429
 7051402,0.016749,0.000000,0.025467,0.000000,0.033566,0.050725,0.039734,0.044586,0.045653,0.044159
 7051403,0.020342,0.095652,0.029620,0.034722,0.036821,0.024845,0.043454,0.000000,0.049633,0.024324
 7051502,0.016119,0.000000,0.025259,0.006897,0.033368,0.000000,0.039554,0.000000,0.045494,0.013950
 7051504,0.016144,0.069767,0.025287,0.000000,0.033395,0.000000,0.039578,0.000000,0.045516,0.010386
 7051601,0.019113,0.010753,0.028426,0.040816,0.036374,0.000000,0.043057,0.000000,0.049292,0.011629
