village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.067074,0.000000,0.071264,0.023256,0.066701,0.021277,0.067454,0.020408,0.068069,0.022742
 7010701,0.067074,0.055556,0.071264,0.000000,0.066701,0.107143,0.067454,0.060976,0.068069,0.067727
 7010810,0.035583,0.000000,0.044388,0.000000,0.049845,0.000000,0.052766,0.000000,0.053465,0.003062
 7010813,0.057307,0.184783,0.056296,0.178947,0.055365,0.097561,0.054482,0.000000,0.053603,0.156915
 7011001,0.067074,0.000000,0.071264,0.037500,0.066701,0.022989,0.067454,0.000000,0.068069,0.026327
 7011002,0.042897,0.000000,0.048541,0.031496,0.051682,0.000000,0.053558,0.000000,0.053507,0.058570
 7011003,0.045274,0.000000,0.050032,0.041237,0.052540,0.000000,0.053933,0.000000,0.053513,0.025702
 7011009,0.049816,0.000000,0.052428,0.000000,0.053780,0.000000,0.054362,0.000000,0.053536,0.018429
 7011010,0.057243,0.000000,0.056268,0.000000,0.055360,0.000000,0.054479,0.000000,0.053602,0.027323
 7011011,0.048129,0.043478,0.051481,0.027027,0.053370,0.000000,0.054292,0.000000,0.053532,0.028710
 7011201,0.057124,0.042254,0.056182,0.000000,0.055308,0.054054,0.054451,0.000000,0.053597,0.059280
 7011202,0.058239,0.031250,0.056812,0.000000,0.055659,0.073529,0.054645,0.000000,0.053710,0.081641
 7011203,0.058070,0.033898,0.056734,0.116667,0.055617,0.032787,0.054622,0.000000,0.053690,0.261628
 7011208,0.057132,0.000000,0.056202,0.000000,0.055309,0.014925,0.054452,0.014493,0.053598,0.015288
 7011212,0.057082,0.080000,0.056159,0.123457,0.055297,0.045872,0.054447,0.040984,0.053597,0.040911
 7011301,0.067074,0.026667,0.071264,0.029412,0.066701,0.000000,0.067454,0.000000,0.068069,0.001972
 7011307,0.067074,0.000000,0.071264,0.000000,0.066701,0.000000,0.067454,0.000000,0.068069,0.003931
 7011403,0.057028,0.000000,0.056154,0.055556,0.055284,0.095238,0.054433,0.000000,0.053580,0.004994
 7011407,0.057821,0.000000,0.056591,0.000000,0.055531,0.028436,0.054572,0.000000,0.053666,0.001295
 7011409,0.067074,0.026667,0.071264,0.041667,0.066701,0.063492,0.067454,0.070175,0.068069,0.791150
 7011505,0.067074,0.000000,0.071264,0.000000,0.066701,0.033333,0.067454,0.000000,0.068069,0.133192
 7011601,0.050395,0.075758,0.052447,0.000000,0.053789,0.075758,0.054364,0.000000,0.053537,0.072478
 7011602,0.042336,0.072289,0.048072,0.033333,0.051678,0.019417,0.053558,0.000000,0.053507,0.111331
 7011702,0.057689,0.033333,0.056497,0.028571,0.055491,0.000000,0.054552,0.026316,0.053646,0.023665
 7011708,0.067074,0.066667,0.071264,0.086420,0.066701,0.076923,0.067454,0.089744,0.068069,0.074942
 7011710,0.040514,0.000000,0.047508,0.000000,0.051226,0.000000,0.053183,0.000000,0.053488,0.005148
 7011805,0.057182,0.000000,0.056221,0.023256,0.055325,0.027523,0.054453,0.107143,0.053600,0.023665
 7011907,0.047560,0.032258,0.051011,0.030303,0.053362,0.023256,0.054291,0.000000,0.053532,0.467259
 7020901,0.057472,0.145299,0.056387,0.100840,0.055413,0.081081,0.054505,0.072727,0.053624,0.072731
 7020902,0.067074,0.024096,0.071264,0.012195,0.066701,0.000000,0.067454,0.000000,0.068069,0.001861
 7020903,0.048687,0.000000,0.051488,0.000000,0.053372,0.000000,0.054291,0.063492,0.053533,0.066895
 7040506,0.057338,0.113208,0.056291,0.037288,0.055363,0.091667,0.054481,0.091667,0.053603,0.777340
 7040509,0.047555,0.060606,0.051008,0.000000,0.053361,0.000000,0.054291,0.000000,0.053532,0.013837
 7040601,0.050395,0.014493,0.052447,0.007143,0.053789,0.000000,0.054364,0.000000,0.053537,0.901915
 7040606,0.067074,0.065574,0.071264,0.016393,0.066701,0.016129,0.067454,0.000000,0.068069,0.828087
 7040608,0.067074,0.000000,0.071264,0.000000,0.066701,0.000000,0.067454,0.000000,0.068069,0.774971
 7040801,0.057503,0.000000,0.056403,0.041667,0.055434,0.000000,0.054525,0.000000,0.053641,0.003442
 7040804,0.057545,0.019608,0.056431,0.020408,0.055441,0.000000,0.054529,0.000000,0.053642,0.003062
 7050303,0.067074,0.020619,0.071264,0.052083,0.066701,0.000000,0.067454,0.028302,0.068069,0.001535
 7050501,0.057399,0.210526,0.056352,0.072464,0.055412,0.000000,0.054504,0.112782,0.053623,0.063826
 7050601,0.067074,0.031250,0.071264,0.000000,0.066701,0.008000,0.067454,0.000000,0.068069,0.071455
 7050602,0.057182,0.000000,0.056220,0.000000,0.055318,0.049180,0.054456,0.000000,0.053599,0.062622
 7050603,0.042336,0.000000,0.048072,0.021505,0.051678,0.020833,0.053558,0.000000,0.053507,0.033523
 7050604,0.057706,0.000000,0.056507,0.020408,0.055487,0.025641,0.054551,0.000000,0.053647,0.052476
 7050703,0.057162,0.135135,0.056209,0.012500,0.055313,0.000000,0.054454,0.000000,0.053599,0.061923
 7050704,0.057182,0.066667,0.056221,0.037736,0.055325,0.000000,0.054453,0.000000,0.053600,0.003442
 7050801,0.067074,0.102804,0.071264,0.168224,0.066701,0.000000,0.067454,0.000000,0.068069,0.001995
 7050804,0.057307,0.054688,0.056296,0.000000,0.055365,0.000000,0.054482,0.068966,0.053603,0.026769
 7051101,0.067074,0.000000,0.071264,0.021739,0.066701,0.000000,0.067454,0.000000,0.068069,0.024666
 7051102,0.067074,0.000000,0.071264,0.111111,0.066701,0.000000,0.067454,0.054054,0.068069,0.041508
 7051103,0.067074,0.000000,0.071264,0.000000,0.066701,0.000000,0.067454,0.061224,0.068069,0.021601
 7051104,0.057307,0.253731,0.056296,0.488372,0.055365,0.000000,0.054482,0.000000,0.053603,0.045816
 7051202,0.057822,0.000000,0.056592,0.015873,0.055532,0.028571,0.054572,0.015873,0.053666,0.015700
 7051203,0.057559,0.018519,0.056439,0.033898,0.055444,0.031250,0.054530,0.000000,0.053642,0.002365
 7051204,0.057182,0.000000,0.056220,0.000000,0.055318,0.000000,0.054456,0.000000,0.053599,0.004231
 7051205,0.054821,0.000000,0.054777,0.076923,0.054997,0.074074,0.054407,0.074074,0.053575,0.037283
 7051301,0.037500,0.011236,0.045481,0.000000,0.050328,0.000000,0.052786,0.000000,0.053467,0.029791
 7051302,0.057430,0.013986,0.056349,0.016529,0.055410,0.000000,0.054504,0.000000,0.053623,0.053276
 7051303,0.056998,0.006024,0.056137,0.000000,0.055275,0.036810,0.054430,0.000000,0.053579,0.000959
 7051304,0.039313,0.000000,0.046383,0.000000,0.050715,0.000000,0.053134,0.000000,0.053482,0.001429
 7051402,0.052057,0.000000,0.053382,0.000000,0.054586,0.050725,0.054384,0.044586,0.053556,0.044159
 7051403,0.057361,0.095652,0.056320,0.034722,0.055383,0.024845,0.054481,0.000000,0.053604,0.024324
 7051502,0.049816,0.000000,0.052428,0.006897,0.053780,0.000000,0.054362,0.000000,0.053536,0.013950
 7051504,0.050395,0.069767,0.052447,0.000000,0.053789,0.000000,0.054364,0.000000,0.053537,0.010386
 7051601,0.057082,0.010753,0.056159,0.040816,0.055297,0.000000,0.054447,0.000000,0.053597,0.011629
 7051602,0.057515,0.027027,0.056403,0.064935,0.055434,0.012500,0.054526,0.011905,0.053641,0.013675
 7051603,0.052057,0.048077,0.053382,0.064516,0.054586,0.067308,0.054384,0.066038,0.053556,0.060079
 7051604,0.057162,0.023256,0.056209,0.000000,0.055313,0.000000,0.054454,0.000000,0.053599,0.004026
 7060102,0.055372,0.000000,0.055227,0.000000,0.055252,0.000000,0.054408,0.000000,0.053576,0.001861
 7060203,0.067074,0.000000,0.071264,0.000000,0.066701,0.000000,0.067454,0.000000,0.068069,0.001113
 7060205,0.067074,0.006250,0.071264,0.006098,0.066701,0.013245,0.067454,0.006803,0.068069,0.007812
 7060208,0.067074,0.012500,0.071264,0.000000,0.066701,0.082474,0.067454,0.004566,0.068069,0.007869
 7060302,0.058011,0.085859,0.056673,0.076190,0.055582,0.026906,0.054598,0.031746,0.053671,0.070358
 7060303,0.067074,0.007634,0.071264,0.068182,0.066701,0.054264,0.067454,0.062016,0.068069,0.100315
 7060304,0.067074,0.108553,0.071264,0.084337,0.066701,0.077419,0.067454,0.102041,0.068069,0.100552
