 village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
53070306,0.054764,0.000000,0.058514,0.000000,0.035778,0.000000,0.054057,0.000000,0.054676,0.000542
53020212,0.054764,0.007246,0.058514,0.000000,0.035693,0.003247,0.037400,0.000000,0.037590,0.000084
53020213,0.025279,0.005155,0.031487,0.000000,0.035166,0.000000,0.037036,0.000000,0.054676,0.000134
53051001,0.039209,0.000000,0.039001,0.026667,0.038838,0.000000,0.038249,0.000000,0.037638,0.012365
53060405,0.033934,0.043011,0.036087,0.000000,0.053420,0.013605,0.054057,0.000000,0.037631,0.000143
53060406,0.054764,0.000000,0.034899,0.000000,0.053420,0.000000,0.038021,0.000000,0.037624,0.000308
53021707,0.041424,0.000000,0.058514,0.000000,0.039235,0.000000,0.054057,0.000000,0.054676,0.000301
53020408,0.054764,0.006579,0.058514,0.010753,0.053420,0.019608,0.054057,0.000000,0.037754,0.000253
53020403,0.054764,0.007937,0.058514,0.015385,0.036141,0.015873,0.037442,0.000000,0.037594,0.007549
53011901,0.054764,0.006024,0.030727,0.000000,0.034496,0.000000,0.036745,0.000000,0.037569,0.000147
53011906,0.030706,0.011628,0.034099,0.000000,0.036259,0.011765,0.037645,0.011364,0.037601,0.000279
53012404,0.038135,0.000000,0.038159,0.000000,0.038489,0.000000,0.038246,0.000000,0.054676,0.000246
53020707,0.029888,0.000000,0.033805,0.000000,0.036325,0.000000,0.037685,0.000000,0.037601,0.000213
53060508,0.054764,0.000000,0.031852,0.000000,0.035336,0.000000,0.037103,0.000000,0.037587,0.000542
53060507,0.054764,0.013158,0.035215,0.000000,0.037093,0.000000,0.038004,0.000000,0.037619,0.000308
53070304,0.027608,0.000000,0.032446,0.000000,0.035576,0.000000,0.054057,0.000000,0.037592,0.000194
53070301,0.026454,0.000000,0.031969,0.000000,0.035192,0.000000,0.037045,0.000000,0.037584,0.005550
53020207,0.021739,0.005952,0.029587,0.000000,0.033990,0.000000,0.036369,0.000000,0.037564,0.000132
53060203,0.022910,0.023077,0.030067,0.023077,0.034379,0.000000,0.036698,0.000000,0.037566,0.000232
53071002,0.040192,0.000000,0.058514,0.000000,0.053420,0.000000,0.038264,0.000000,0.037647,0.000295
53071006,0.031569,0.000000,0.034697,0.000000,0.036698,0.000000,0.037993,0.000000,0.037617,0.000236
53071001,0.040247,0.000000,0.039546,0.000000,0.038896,0.000000,0.038281,0.000000,0.037668,0.000181
53070106,0.027038,0.000000,0.032428,0.000000,0.035567,0.000000,0.037362,0.000000,0.037585,0.000371
53070108,0.026467,0.000000,0.031976,0.000000,0.035195,0.008850,0.037046,0.000000,0.037584,0.000199
53100306,0.054764,0.000000,0.058514,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000232
53011203,0.054764,0.000000,0.058514,0.047244,0.035412,0.000000,0.037133,0.024000,0.037590,0.000097
53060108,0.054764,0.000000,0.030253,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000268
53060303,0.021723,0.000000,0.029579,0.000000,0.033986,0.000000,0.036367,0.000000,0.037564,0.000311
53060403,0.027038,0.009804,0.032428,0.000000,0.035567,0.000000,0.037362,0.000000,0.037585,0.000228
53021814,0.037039,0.000000,0.058514,0.037037,0.038157,0.000000,0.038234,0.000000,0.037639,0.000330
53021807,0.026285,0.000000,0.031748,0.000000,0.035288,0.000000,0.037083,0.000000,0.037586,0.000176
53021801,0.054764,0.010417,0.058514,0.018692,0.035700,0.020833,0.037406,0.000000,0.037590,0.025639
53022701,0.023476,0.005128,0.030374,0.000000,0.053420,0.000000,0.036788,0.000000,0.037573,0.000220
53020204,0.054764,0.009804,0.058514,0.004525,0.038859,0.000000,0.054057,0.000000,0.054676,0.010770
53020711,0.032117,0.015873,0.035122,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000123
53020701,0.022910,0.004717,0.030067,0.000000,0.034379,0.000000,0.054057,0.000000,0.054676,0.008698
53012506,0.040921,0.000000,0.039918,0.000000,0.039116,0.000000,0.038393,0.000000,0.037723,0.000846
53012402,0.054764,0.000000,0.038238,0.000000,0.038519,0.000000,0.038254,0.000000,0.054676,0.000343
53011803,0.038135,0.000000,0.058514,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.009382
53060510,0.032876,0.021978,0.035257,0.000000,0.037111,0.000000,0.038007,0.000000,0.037620,0.000238
53060502,0.054764,0.023529,0.036158,0.000000,0.037487,0.000000,0.038216,0.000000,0.054676,0.034372
53060506,0.054764,0.000000,0.028853,0.000000,0.033688,0.000000,0.036398,0.000000,0.054676,0.000444
53020203,0.031569,0.000000,0.034697,0.022472,0.036698,0.000000,0.037993,0.000000,0.054676,0.017617
53020109,0.054764,0.000000,0.058514,0.010638,0.053420,0.000000,0.054057,0.000000,0.054676,0.000196
53020201,0.032669,0.004329,0.035137,0.000000,0.037059,0.016260,0.037996,0.020080,0.037618,0.015023
53050903,0.029888,0.000000,0.033805,0.000000,0.036325,0.000000,0.037685,0.000000,0.037601,0.000207
53022008,0.040609,0.013158,0.039755,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000343
53020205,0.054764,0.007042,0.058514,0.012739,0.035700,0.012346,0.037406,0.000000,0.037590,0.011990
53020103,0.054764,0.000000,0.030081,0.000000,0.053420,0.000000,0.054057,0.061069,0.054676,0.058563
53020101,0.040858,0.000000,0.039878,0.078431,0.039078,0.000000,0.038374,0.000000,0.054676,0.000357
53022005,0.034341,0.000000,0.036020,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000220
53060710,0.022910,0.000000,0.030067,0.000000,0.034379,0.000000,0.054057,0.000000,0.054676,0.000576
53060901,0.026268,0.000000,0.031738,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.000205
53021809,0.029327,0.000000,0.033316,0.012195,0.053420,0.000000,0.037383,0.000000,0.037590,0.000343
53022703,0.054764,0.000000,0.031657,0.000000,0.035246,0.000000,0.037067,0.000000,0.037585,0.000253
53070609,0.054764,0.000000,0.058514,0.000000,0.053420,0.000000,0.054057,0.000000,0.037632,0.000311
53030804,0.054764,0.000000,0.058514,0.000000,0.037130,0.000000,0.038014,0.000000,0.037622,0.699155
53011905,0.028187,0.000000,0.032896,0.000000,0.035569,0.000000,0.037358,0.000000,0.037585,0.000361
53011903,0.033229,0.000000,0.035572,0.000000,0.037068,0.000000,0.037998,0.000000,0.037618,0.009425
53060404,0.054764,0.000000,0.031628,0.000000,0.035232,0.015625,0.037063,0.000000,0.037585,0.000212
53060201,0.054764,0.012097,0.058514,0.000000,0.053420,0.000000,0.054057,0.000000,0.054676,0.006260
53060505,0.025293,0.012658,0.058514,0.004098,0.034894,0.000000,0.036761,0.000000,0.054676,0.000124
53060103,0.054764,0.023392,0.031644,0.005405,0.053420,0.005405,0.054057,0.000000,0.054676,0.000137
