  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.017120,0.000000,0.025499,0.023256,0.030324,0.021277,0.033052,0.020408,0.034561,0.022742
 7010607,0.017120,0.044444,0.025499,0.050000,0.030324,0.020408,0.033052,0.014184,0.034561,0.001160
 7010701,0.017830,0.055556,0.026032,0.000000,0.030738,0.107143,0.033393,0.060976,0.034615,0.067727
 7010810,0.017830,0.000000,0.026032,0.000000,0.030738,0.000000,0.033393,0.000000,0.034615,0.003062
 7010813,0.017848,0.184783,0.026041,0.178947,0.030743,0.097561,0.033395,0.000000,0.034616,0.156915
 7010905,0.017848,0.027027,0.026041,0.011494,0.030743,0.000000,0.033395,0.000000,0.034616,0.001744
 7010913,0.017848,0.000000,0.026041,0.027397,0.030743,0.000000,0.033395,0.000000,0.034616,0.060579
 7011001,0.017848,0.000000,0.026041,0.037500,0.030743,0.022989,0.033395,0.000000,0.034616,0.026327
 7011002,0.018522,0.000000,0.026067,0.031496,0.030756,0.000000,0.033400,0.000000,0.034616,0.058570
 7011003,0.018522,0.000000,0.026067,0.041237,0.030756,0.000000,0.033400,0.000000,0.034616,0.025702
 7011008,0.018522,0.000000,0.026067,0.000000,0.030756,0.040541,0.033400,0.000000,0.034616,0.001691
 7011009,0.019180,0.000000,0.026564,0.000000,0.030765,0.000000,0.033403,0.000000,0.034616,0.018429
 7011010,0.019180,0.000000,0.026564,0.000000,0.030765,0.000000,0.033403,0.000000,0.034616,0.027323
 7011011,0.019180,0.043478,0.026564,0.027027,0.030765,0.000000,0.033403,0.000000,0.034616,0.028710
 7011201,0.019180,0.042254,0.026564,0.000000,0.030765,0.054054,0.033403,0.000000,0.034616,0.059280
 7011202,0.019180,0.031250,0.026564,0.000000,0.030765,0.073529,0.033403,0.000000,0.034616,0.081641
 7011203,0.019180,0.033898,0.026564,0.116667,0.030765,0.032787,0.033403,0.000000,0.034616,0.261628
 7011208,0.019835,0.000000,0.027065,0.000000,0.031165,0.014925,0.033409,0.014493,0.034617,0.015288
 7011212,0.019835,0.080000,0.027065,0.123457,0.031165,0.045872,0.033409,0.040984,0.034617,0.040911
 7011301,0.019835,0.026667,0.027065,0.029412,0.031165,0.000000,0.033409,0.000000,0.034617,0.001972
 7011307,0.019867,0.000000,0.027082,0.000000,0.031174,0.000000,0.033413,0.000000,0.034617,0.003931
 7011403,0.019867,0.000000,0.027082,0.055556,0.031174,0.095238,0.033413,0.000000,0.034617,0.004994
 7011407,0.019867,0.000000,0.027082,0.000000,0.031174,0.028436,0.033413,0.000000,0.034617,0.001295
 7011409,0.019884,0.026667,0.027091,0.041667,0.031178,0.063492,0.033415,0.070175,0.034617,0.791150
 7011505,0.019884,0.000000,0.027091,0.000000,0.031178,0.033333,0.033415,0.000000,0.034617,0.133192
 7011601,0.019884,0.075758,0.027091,0.000000,0.031178,0.075758,0.033415,0.000000,0.034617,0.072478
 7011602,0.019884,0.072289,0.027091,0.033333,0.031178,0.019417,0.033415,0.000000,0.034617,0.111331
 7011702,0.019884,0.033333,0.027091,0.028571,0.031178,0.000000,0.033415,0.026316,0.034617,0.023665
 7011708,0.019884,0.066667,0.027091,0.086420,0.031178,0.076923,0.033415,0.089744,0.034617,0.074942
 7011710,0.019884,0.000000,0.027091,0.000000,0.031178,0.000000,0.033415,0.000000,0.034617,0.005148
 7011805,0.019884,0.000000,0.027091,0.023256,0.031178,0.027523,0.033415,0.107143,0.034617,0.023665
 7011907,0.020554,0.032258,0.027598,0.030303,0.031580,0.023256,0.033745,0.000000,0.034618,0.467259
 7020901,0.020554,0.145299,0.027598,0.100840,0.031580,0.081081,0.033745,0.072727,0.034618,0.072731
 7020902,0.020554,0.024096,0.027598,0.012195,0.031580,0.000000,0.033745,0.000000,0.034618,0.001861
 7020903,0.020554,0.000000,0.027598,0.000000,0.031580,0.000000,0.033745,0.063492,0.034618,0.066895
 7021106,0.020554,0.000000,0.027598,0.000000,0.031580,0.016129,0.033745,0.067797,0.034618,0.019031
 7040506,0.020554,0.113208,0.027598,0.037288,0.031580,0.091667,0.033745,0.091667,0.034618,0.777340
 7040509,0.021208,0.060606,0.027614,0.000000,0.031588,0.000000,0.033748,0.000000,0.034618,0.013837
 7040511,0.021208,0.027027,0.027614,0.000000,0.031588,0.000000,0.033748,0.000000,0.034618,0.059877
 7040601,0.021208,0.014493,0.027614,0.007143,0.031588,0.000000,0.033748,0.000000,0.034618,0.901915
 7040606,0.021208,0.065574,0.027614,0.016393,0.031588,0.016129,0.033748,0.000000,0.034618,0.828087
 7040608,0.021208,0.000000,0.027614,0.000000,0.031588,0.000000,0.033748,0.000000,0.034618,0.774971
 7040702,0.021875,0.019608,0.028113,0.045752,0.031597,0.031056,0.033751,0.000000,0.034619,0.043678
 7040801,0.021875,0.000000,0.028113,0.041667,0.031597,0.000000,0.033751,0.000000,0.034619,0.003442
 7040803,0.021875,0.000000,0.028113,0.000000,0.031597,0.013699,0.033751,0.000000,0.034619,0.030390
 7040804,0.021875,0.019608,0.028113,0.020408,0.031597,0.000000,0.033751,0.000000,0.034619,0.003062
 7040806,0.021875,0.028571,0.028113,0.016393,0.031597,0.033333,0.033751,0.000000,0.034619,0.030390
 7040903,0.021875,0.000000,0.028113,0.000000,0.031597,0.018182,0.033751,0.000000,0.034619,0.019031
 7050303,0.021875,0.020619,0.028113,0.052083,0.031597,0.000000,0.033751,0.028302,0.034619,0.001535
 7050501,0.021875,0.210526,0.028113,0.072464,0.031597,0.000000,0.033751,0.112782,0.034619,0.063826
 7050601,0.021875,0.031250,0.028113,0.000000,0.031597,0.008000,0.033751,0.000000,0.034619,0.071455
