  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.027687,0.000000,0.042026,0.023256,0.050108,0.021277,0.054527,0.020408,0.056829,0.022742
 7010701,0.030496,0.055556,0.043825,0.000000,0.051155,0.107143,0.054996,0.060976,0.057006,0.067727
 7010810,0.031180,0.000000,0.043869,0.000000,0.051176,0.000000,0.055005,0.000000,0.057006,0.003062
 7010813,0.031886,0.184783,0.044440,0.178947,0.051199,0.097561,0.055015,0.000000,0.057007,0.156915
 7011001,0.032589,0.000000,0.044496,0.037500,0.051229,0.022989,0.055028,0.000000,0.057007,0.026327
 7011002,0.032617,0.000000,0.044512,0.031496,0.051236,0.000000,0.055031,0.000000,0.057008,0.058570
 7011003,0.033292,0.000000,0.045078,0.041237,0.051722,0.000000,0.055452,0.000000,0.057011,0.025702
 7011009,0.033292,0.000000,0.045078,0.000000,0.051722,0.000000,0.055452,0.000000,0.057011,0.018429
 7011010,0.033317,0.000000,0.045092,0.000000,0.051729,0.000000,0.055455,0.000000,0.057011,0.027323
 7011011,0.033990,0.043478,0.045642,0.027027,0.052203,0.000000,0.055466,0.000000,0.057012,0.028710
 7011201,0.033990,0.042254,0.045642,0.000000,0.052203,0.054054,0.055466,0.000000,0.057012,0.059280
 7011202,0.033990,0.031250,0.045642,0.000000,0.052203,0.073529,0.055466,0.000000,0.057012,0.081641
 7011203,0.034660,0.033898,0.045682,0.116667,0.052223,0.032787,0.055474,0.000000,0.057013,0.261628
 7011208,0.034660,0.000000,0.045682,0.000000,0.052223,0.014925,0.055474,0.014493,0.057013,0.015288
 7011212,0.034685,0.080000,0.045695,0.123457,0.052230,0.045872,0.055477,0.040984,0.057013,0.040911
 7011301,0.035353,0.026667,0.046255,0.029412,0.052251,0.000000,0.055485,0.000000,0.057014,0.001972
 7011307,0.035378,0.000000,0.046268,0.000000,0.052258,0.000000,0.055488,0.000000,0.057014,0.003931
 7011403,0.035378,0.000000,0.046268,0.055556,0.052258,0.095238,0.055488,0.000000,0.057014,0.004994
 7011407,0.036043,0.000000,0.046811,0.000000,0.052726,0.028436,0.055889,0.000000,0.057032,0.001295
 7011409,0.036044,0.026667,0.046811,0.041667,0.052726,0.063492,0.055889,0.070175,0.057032,0.791150
 7011505,0.036044,0.000000,0.046811,0.000000,0.052726,0.033333,0.055889,0.000000,0.057032,0.133192
 7011601,0.036069,0.075758,0.046825,0.000000,0.052733,0.075758,0.055891,0.000000,0.057032,0.072478
 7011602,0.036069,0.072289,0.046825,0.033333,0.052733,0.019417,0.055891,0.000000,0.057032,0.111331
 7011702,0.036069,0.033333,0.046825,0.028571,0.052733,0.000000,0.055891,0.026316,0.057032,0.023665
 7011708,0.036731,0.066667,0.046863,0.086420,0.052752,0.076923,0.055898,0.089744,0.057032,0.074942
 7011710,0.036731,0.000000,0.046863,0.000000,0.052752,0.000000,0.055898,0.000000,0.057032,0.005148
 7011805,0.037392,0.000000,0.047415,0.023256,0.053222,0.027523,0.056310,0.107143,0.057036,0.023665
 7011907,0.037392,0.032258,0.047415,0.030303,0.053222,0.023256,0.056310,0.000000,0.057036,0.467259
 7020901,0.037392,0.145299,0.047415,0.100840,0.053222,0.081081,0.056310,0.072727,0.057036,0.072731
 7020902,0.037392,0.024096,0.047415,0.012195,0.053222,0.000000,0.056310,0.000000,0.057036,0.001861
 7020903,0.037392,0.000000,0.047415,0.000000,0.053222,0.000000,0.056310,0.063492,0.057036,0.066895
 7040506,0.037392,0.113208,0.047415,0.037288,0.053222,0.091667,0.056310,0.091667,0.057036,0.777340
 7040509,0.037416,0.060606,0.047428,0.000000,0.053229,0.000000,0.056312,0.000000,0.057036,0.013837
 7040601,0.037416,0.014493,0.047428,0.007143,0.053229,0.000000,0.056312,0.000000,0.057036,0.901915
 7040606,0.037416,0.065574,0.047428,0.016393,0.053229,0.016129,0.056312,0.000000,0.057036,0.828087
 7040608,0.038074,0.000000,0.047454,0.000000,0.053241,0.000000,0.056316,0.000000,0.057036,0.774971
 7040801,0.038074,0.000000,0.047454,0.041667,0.053241,0.000000,0.056316,0.000000,0.057036,0.003442
 7040804,0.038074,0.019608,0.047454,0.020408,0.053241,0.000000,0.056316,0.000000,0.057036,0.003062
 7050303,0.038074,0.020619,0.047454,0.052083,0.053241,0.000000,0.056316,0.028302,0.057036,0.001535
 7050501,0.038754,0.210526,0.048015,0.072464,0.053265,0.000000,0.056324,0.112782,0.057037,0.063826
 7050601,0.038754,0.031250,0.048015,0.000000,0.053265,0.008000,0.056324,0.000000,0.057037,0.071455
 7050602,0.039406,0.000000,0.048558,0.000000,0.053725,0.049180,0.056329,0.000000,0.057038,0.062622
 7050603,0.040056,0.000000,0.048582,0.021505,0.053737,0.020833,0.056333,0.000000,0.057038,0.033523
 7050604,0.040100,0.000000,0.048606,0.020408,0.053748,0.025641,0.056337,0.000000,0.057039,0.052476
 7050703,0.040100,0.135135,0.048606,0.012500,0.053748,0.000000,0.056337,0.000000,0.057039,0.061923
 7050704,0.040100,0.066667,0.048606,0.037736,0.053748,0.000000,0.056337,0.000000,0.057039,0.003442
 7050801,0.040123,0.102804,0.048619,0.168224,0.053754,0.000000,0.056339,0.000000,0.057039,0.001995
 7050804,0.040123,0.054688,0.048619,0.000000,0.053754,0.000000,0.056339,0.068966,0.057039,0.026769
 7051101,0.040123,0.000000,0.048619,0.021739,0.053754,0.000000,0.056339,0.000000,0.057039,0.024666
 7051102,0.040123,0.000000,0.048619,0.111111,0.053754,0.000000,0.056339,0.054054,0.057039,0.041508
 7051103,0.040123,0.000000,0.048619,0.000000,0.053754,0.000000,0.056339,0.061224,0.057039,0.021601
 7051104,0.041369,0.253731,0.049669,0.488372,0.054216,0.000000,0.056738,0.000000,0.057058,0.045816
 7051202,0.041369,0.000000,0.049669,0.015873,0.054216,0.028571,0.056738,0.015873,0.057058,0.015700
 7051203,0.041369,0.018519,0.049669,0.033898,0.054216,0.031250,0.056738,0.000000,0.057058,0.002365
