  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.013223,0.000000,0.019783,0.023256,0.023605,0.021277,0.025796,0.020408,0.027032,0.022742
 7010607,0.013223,0.044444,0.019783,0.050000,0.023605,0.020408,0.025796,0.014184,0.027032,0.001160
 7010701,0.013769,0.055556,0.020200,0.000000,0.023935,0.107143,0.026071,0.060976,0.027076,0.067727
 7010810,0.013769,0.000000,0.020200,0.000000,0.023935,0.000000,0.026071,0.000000,0.027076,0.003062
 7010813,0.013780,0.184783,0.020206,0.178947,0.023937,0.097561,0.026072,0.000000,0.027076,0.156915
 7010905,0.013780,0.027027,0.020206,0.011494,0.023937,0.000000,0.026072,0.000000,0.027076,0.001744
 7010913,0.013780,0.000000,0.020206,0.027397,0.023937,0.000000,0.026072,0.000000,0.027076,0.060579
 7011001,0.013780,0.000000,0.020206,0.037500,0.023937,0.022989,0.026072,0.000000,0.027076,0.026327
 7011002,0.014305,0.000000,0.020222,0.031496,0.023946,0.000000,0.026075,0.000000,0.027077,0.058570
 7011003,0.014305,0.000000,0.020222,0.041237,0.023946,0.000000,0.026075,0.000000,0.027077,0.025702
 7011008,0.014305,0.000000,0.020222,0.000000,0.023946,0.040541,0.026075,0.000000,0.027077,0.001691
 7011009,0.014820,0.000000,0.020616,0.000000,0.023951,0.000000,0.026077,0.000000,0.027077,0.018429
 7011010,0.014820,0.000000,0.020616,0.000000,0.023951,0.000000,0.026077,0.000000,0.027077,0.027323
 7011011,0.014820,0.043478,0.020616,0.027027,0.023951,0.000000,0.026077,0.000000,0.027077,0.028710
 7011201,0.014820,0.042254,0.020616,0.000000,0.023951,0.054054,0.026077,0.000000,0.027077,0.059280
 7011202,0.014820,0.031250,0.020616,0.000000,0.023951,0.073529,0.026077,0.000000,0.027077,0.081641
 7011203,0.014820,0.033898,0.020616,0.116667,0.023951,0.032787,0.026077,0.000000,0.027077,0.261628
 7011208,0.015334,0.000000,0.021014,0.000000,0.024272,0.014925,0.026081,0.014493,0.027077,0.015288
