  village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
 7010311,0.024154,0.000000,0.036722,0.023256,0.043851,0.021277,0.047789,0.020408,0.049879,0.022742
 7010701,0.026600,0.055556,0.038298,0.000000,0.044775,0.107143,0.048206,0.060976,0.050038,0.067727
 7010810,0.027198,0.000000,0.038332,0.000000,0.044792,0.000000,0.048214,0.000000,0.050039,0.003062
 7010813,0.027812,0.184783,0.038836,0.178947,0.044809,0.097561,0.048221,0.000000,0.050039,0.156915
 7011001,0.028425,0.000000,0.038879,0.037500,0.044833,0.022989,0.048231,0.000000,0.050040,0.026327
 7011002,0.028447,0.000000,0.038891,0.031496,0.044839,0.000000,0.048234,0.000000,0.050040,0.058570
 7011003,0.029038,0.000000,0.039391,0.041237,0.045271,0.000000,0.048613,0.000000,0.050042,0.025702
 7011009,0.029038,0.000000,0.039391,0.000000,0.045271,0.000000,0.048613,0.000000,0.050042,0.018429
 7011010,0.029057,0.000000,0.039402,0.000000,0.045277,0.000000,0.048615,0.000000,0.050042,0.027323
 7011011,0.029647,0.043478,0.039889,0.027027,0.045701,0.000000,0.048624,0.000000,0.050043,0.028710
 7011201,0.029647,0.042254,0.039889,0.000000,0.045701,0.054054,0.048624,0.000000,0.050043,0.059280
 7011202,0.029647,0.031250,0.039889,0.000000,0.045701,0.073529,0.048624,0.000000,0.050043,0.081641
 7011203,0.030234,0.033898,0.039921,0.116667,0.045716,0.032787,0.048631,0.000000,0.050044,0.261628
 7011208,0.030234,0.000000,0.039921,0.000000,0.045716,0.014925,0.048631,0.014493,0.050044,0.015288
 7011212,0.030253,0.080000,0.039931,0.123457,0.045722,0.045872,0.048633,0.040984,0.050044,0.040911
 7011301,0.030839,0.026667,0.040426,0.029412,0.045738,0.000000,0.048639,0.000000,0.050044,0.001972
 7011307,0.030858,0.000000,0.040436,0.000000,0.045744,0.000000,0.048642,0.000000,0.050044,0.003931
 7011403,0.030858,0.000000,0.040436,0.055556,0.045744,0.095238,0.048642,0.000000,0.050044,0.004994
 7011407,0.031442,0.000000,0.040918,0.000000,0.046163,0.028436,0.049005,0.000000,0.050061,0.001295
 7011409,0.031442,0.026667,0.040918,0.041667,0.046163,0.063492,0.049005,0.070175,0.050061,0.791150
 7011505,0.031442,0.000000,0.040918,0.000000,0.046163,0.033333,0.049005,0.000000,0.050061,0.133192
 7011601,0.031462,0.075758,0.040928,0.000000,0.046168,0.075758,0.049007,0.000000,0.050061,0.072478
 7011602,0.031462,0.072289,0.040928,0.033333,0.046168,0.019417,0.049007,0.000000,0.050061,0.111331
 7011702,0.031462,0.033333,0.040928,0.028571,0.046168,0.000000,0.049007,0.026316,0.050061,0.023665
 7011708,0.032043,0.066667,0.040959,0.086420,0.046183,0.076923,0.049012,0.089744,0.050061,0.074942
 7011710,0.032043,0.000000,0.040959,0.000000,0.046183,0.000000,0.049012,0.000000,0.050061,0.005148
 7011805,0.032623,0.000000,0.041447,0.023256,0.046604,0.027523,0.049385,0.107143,0.050064,0.023665
 7011907,0.032623,0.032258,0.041447,0.030303,0.046604,0.023256,0.049385,0.000000,0.050064,0.467259
 7020901,0.032623,0.145299,0.041447,0.100840,0.046604,0.081081,0.049385,0.072727,0.050064,0.072731
 7020902,0.032623,0.024096,0.041447,0.012195,0.046604,0.000000,0.049385,0.000000,0.050064,0.001861
 7020903,0.032623,0.000000,0.041447,0.000000,0.046604,0.000000,0.049385,0.063492,0.050064,0.066895
 7040506,0.032623,0.113208,0.041447,0.037288,0.046604,0.091667,0.049385,0.091667,0.050064,0.777340
 7040509,0.032643,0.060606,0.041458,0.000000,0.046609,0.000000,0.049386,0.000000,0.050064,0.013837
 7040601,0.032643,0.014493,0.041458,0.007143,0.046609,0.000000,0.049386,0.000000,0.050064,0.901915
 7040606,0.032643,0.065574,0.041458,0.016393,0.046609,0.016129,0.049386,0.000000,0.050064,0.828087
