%substr mjrddis roadlength_rank
140804 1 1
221202 3 4
500210 3 4
680110 3 4
713201 4 5
250501 5 7
630812 5 7
150206 6 12
321804 6 12
330612 6 12
370110 6 12
610506 6 12
220206 7 14
660302 7 14
320608 10 16
410306 10 16
310401 11 18
660209 11 18
250208 12 19
330118 13 20
090104 15 22
641303 15 22
230206 16 26
270708 16 26
271204 16 26
420801 16 26
321101 18 30
321502 18 30
322401 18 30
630305 18 30
370704 19 31
120703 24 34
310109 24 34
630709 24 34
060204 25 38
080408 25 38
170901 25 38
490510 25 38
560301 26 39
640213 27 40
320202 28 41
550102 29 42
080104 30 44
130605 30 44
010801 31 46
551402 31 46
030205 32 49
323301 32 49
610105 32 49
560201 34 50
321504 35 53
540704 35 53
660106 35 53
080611 36 54
221309 38 56
410105 38 56
681109 39 57
150301 40 58
070213 42 60
380517 42 60
641215 43 61
211408 44 63
440109 44 63
221801 47 66
620106 47 66
660510 47 66
530903 48 67
020312 49 70
250403 49 70
480605 49 70
140701 50 71
131407 51 72
321401 52 73
021006 53 77
280112 53 77
320204 53 77
370104 53 77
280606 54 79
630201 54 79
070309 55 80
610407 56 82
682302 56 82
211104 57 84
320206 57 84
100606 58 87
540109 58 87
670110 58 87
211301 60 88
211001 61 90
230710 61 90
510205 62 91
120512 63 93
210113 63 93
320308 65 95
670604 65 95
480408 66 96
031002 67 100
170301 67 100
380504 67 100
550108 67 100
080306 68 103
321501 68 103
680217 68 103
331204 69 106
360112 69 106
420805 69 106
160803 71 107
070210 72 109
330514 72 109
330815 73 111
460104 73 111
360601 74 112
220103 75 114
600811 75 114
050108 76 117
390902 76 117
540501 76 117
370501 79 118
360414 80 119
100301 81 121
250510 81 121
681303 82 122
320905 83 125
550609 83 125
660408 83 125
130108 84 127
630311 84 127
730107 86 128
560703 87 129
320103 89 131
730301 89 131
681101 90 132
200111 91 133
510106 92 134
310601 96 137
490205 96 137
680504 96 137
330709 99 138
230102 101 139
320110 102 140
080602 103 141
220612 104 142
541202 105 144
710109 105 144
490605 106 145
660304 108 146
370801 109 148
420611 109 148
040501 110 151
310304 110 151
310705 110 151
070112 111 152
130116 112 156
211701 112 156
550206 112 156
700106 112 156
470110 113 157
180111 115 158
270103 116 159
550203 118 160
550505 119 161
050407 120 165
510111 120 165
580109 120 165
711006 120 165
131511 121 166
210105 122 167
080402 123 169
660505 123 169
250701 124 171
580305 124 171
300102 125 172
090501 126 173
541301 127 175
641203 127 175
200701 128 177
310714 128 177
090602 130 180
260701 130 180
320203 130 180
201101 132 181
041006 134 184
470301 134 184
490302 134 184
080803 137 185
310616 140 187
320805 140 187
210301 141 191
321801 141 191
323701 141 191
600804 141 191
310506 142 192
211108 143 193
210811 144 197
320402 144 197
323702 144 197
630117 144 197
100601 145 200
550911 145 200
610306 145 200
080508 150 201
670113 152 202
440104 154 203
040703 155 207
220112 155 207
410301 155 207
570416 155 207
310308 156 210
323303 156 210
550706 156 210
150502 158 212
510309 158 212
450402 159 213
600115 160 215
730113 160 215
070801 161 217
550906 161 217
131805 162 220
530215 162 220
740401 162 220
160504 163 222
620203 163 222
710111 166 223
490313 168 224
450801 170 225
440105 171 229
551502 171 229
600104 171 229
680710 171 229
750506 172 230
211305 173 232
322801 173 232
320108 174 234
370401 174 234
430401 175 235
040116 176 236
140306 177 237
560106 178 238
070104 179 241
070111 179 241
090108 179 241
030201 180 245
270120 180 245
300208 180 245
740406 180 245
280404 181 248
330703 181 248
650909 181 248
070602 182 250
661002 182 250
300109 183 252
320302 183 252
210111 184 254
390110 184 254
140702 185 255
330702 186 258
640110 186 258
711001 186 258
330717 187 259
520801 188 260
600107 189 261
321204 190 262
550709 191 264
681108 191 264
131210 192 267
190115 192 267
231202 192 267
320602 193 268
340604 196 269
121603 197 272
320201 197 272
660117 197 272
440103 199 274
640503 199 274
160113 200 275
321602 202 277
540911 202 277
070403 203 278
322501 205 281
410108 205 281
630203 205 281
670707 208 282
490404 209 285
490505 209 285
610106 209 285
210201 210 286
230613 211 288
320105 211 288
180201 214 290
450601 214 290
070501 216 292
670407 216 292
340504 219 295
380115 219 295
641601 219 295
120101 221 298
420716 221 298
501004 221 298
200607 224 299
350107 225 301
510305 225 301
440302 226 305
630309 226 305
641212 226 305
650201 226 305
131309 227 307
190112 227 307
380602 228 308
131608 229 310
660102 229 310
021001 231 316
130112 231 316
140408 231 316
250201 231 316
323201 231 316
661414 231 316
110113 235 322
150501 235 322
251002 235 322
320102 235 322
390306 235 322
600402 235 322
150109 236 323
080520 238 325
210804 238 325
700504 239 326
120907 242 328
630109 242 328
711202 243 329
360503 244 331
410305 244 331
230402 245 333
323502 245 333
550211 246 334
080603 247 335
550212 248 336
101008 249 338
500311 249 338
690110 250 340
700201 250 340
201003 251 341
130203 253 342
470109 254 343
551007 255 344
210115 257 347
470403 257 347
650501 257 347
020602 258 349
530204 258 349
410106 260 350
510114 261 352
740408 261 352
310611 262 353
570117 263 354
260118 265 357
490513 265 357
680207 265 357
220115 266 359
470104 266 359
540305 267 360
390106 268 362
440801 268 362
211504 270 364
212401 270 364
220510 271 365
221303 272 368
320106 272 368
321503 272 368
400604 273 371
500209 273 371
650502 273 371
270102 274 372
711612 278 373
551009 280 374
272003 281 376
540301 281 376
140117 282 378
190205 282 378
340806 283 379
390112 284 381
661104 284 381
360313 285 382
330704 286 386
390613 286 386
500108 286 386
590105 286 386
530806 287 387
220203 288 389
321203 288 389
080114 292 391
370613 292 391
550602 293 392
131401 294 393
030501 296 394
490401 298 395
323001 299 397
670507 299 397
640804 300 398
060105 301 399
540701 302 400
350601 304 401
321802 306 402
340106 307 403
070505 308 407
110609 308 407
600704 308 407
750104 308 407
130911 309 410
321803 309 410
680601 309 410
070514 311 412
600816 311 412
670107 312 413
370713 313 414
060318 316 416
690102 316 416
400201 318 417
270501 319 418
322209 320 419
323704 321 421
620305 321 421
