%tambon_id year business_proxy credit_proxy pca1 pca2 pca3 pca4 population
100102 1986 0.00099601593625498 0 106 45 18 3 1004
100102 1988 0.00107181136120043 1 133 66 24 2 933
100102 1990 0.00503018108651911 1 139 47 42 4 994
100102 1992 0 1 153 99 43 5 847
100102 1994 0.0016025641025641 1 110 91 52 5 624
100103 1986 0.00265604249667995 0 52 34 23 2 753
100103 1988 0.00267737617135207 1 74 45 32 1 747
100103 1990 0.00261096605744125 0 96 53 42 1 766
100103 1992 0 0 103 100 41 3 607
100103 1994 0.0047244094488189 0 136 89 67 5 635
100104 1986 0.00140646976090014 0 94 31 37 6 711
100104 1988 0.00145348837209302 0 110 39 48 2 688
100104 1990 0.00462962962962963 1 110 42 56 3 648
100104 1992 0.00281293952180028 0 131 95 56 5 711
100104 1994 0 1 261 225 161 11 1373
100105 1986 0.000880281690140845 1 201 64 49 4 1136
100105 1988 0.000857632933104631 1 211 90 59 3 1166
100105 1990 0.00370027752081406 0 246 109 65 5 1081
100105 1992 0 0 209 126 103 16 1087
100105 1994 0.0013262599469496 0 144 98 36 4 754
100106 1986 0 0 76 36 20 1 900
100106 1988 0.00131926121372032 1 95 55 20 1 758
100106 1990 0.00450958286358512 1 133 63 22 3 887
100106 1992 0.00506756756756757 0 102 79 26 2 592
100106 1994 0 1 144 105 83 9 694
100107 1986 0.0061652281134402 1 116 58 42 10 811
100107 1988 0.00143472022955524 0 130 80 44 5 697
100107 1990 0.00536193029490617 0 142 97 49 6 746
100107 1992 0.0026246719160105 1 147 117 60 7 762
100107 1994 0 0 198 186 131 23 902
100108 1986 0.0058343057176196 1 136 79 59 11 857
100108 1988 0.00574712643678161 1 174 113 68 10 870
100108 1990 0 1 187 176 66 11 949
100108 1992 0 1 170 158 78 18 756
100108 1994 0.00510204081632653 1 78 71 23 10 392
100110 1986 0.00723763570566948 1 118 51 40 15 829
100110 1988 0.00500625782227785 1 109 58 32 5 799
100110 1990 0.014030612244898 1 113 106 40 6 784
100110 1992 0.00491803278688525 1 132 83 34 4 610
100110 1994 0.0292812777284827 1 209 193 125 37 1127
100111 1986 0.00645161290322581 0 154 88 51 8 930
100111 1988 0.00112739571589628 1 162 95 51 8 887
100111 1990 0.00211416490486258 1 181 110 56 9 946
100111 1992 0.0043525571273123 1 220 184 83 14 919
100111 1994 0 0 116 83 50 4 574
100112 1986 0 1 75 44 28 3 627
100112 1988 0.00347826086956522 1 91 54 23 2 575
100112 1990 0.00162074554294976 1 105 56 23 2 617
100112 1992 0 1 133 82 30 3 853
100112 1994 0 1 92 55 18 3 464
100113 1986 0.00176678445229682 0 27 16 12 4 566
100113 1988 0.00193050193050193 0 43 26 14 2 518
100113 1990 0 0 70 35 15 2 578
100113 1992 0 0 90 66 19 3 575
100113 1994 0.00233918128654971 1 140 95 51 6 855
100114 1986 0.00127388535031847 0 27 17 25 2 785
100114 1988 0.00222965440356745 0 57 27 21 1 897
100114 1990 0.00381194409148666 1 72 38 33 2 787
100114 1992 0.00137931034482759 1 117 83 57 4 725
100114 1994 0.00321543408360129 0 124 98 53 5 622
100115 1986 0.00310077519379845 1 87 43 20 2 645
100115 1988 0.00161550888529887 1 112 56 27 1 619
100115 1990 0.00317460317460317 0 116 38 29 2 630
100115 1992 0.00276625172890733 1 146 84 45 4 723
100115 1994 0.0109769484083425 1 179 115 40 8 911
100116 1986 0 0 121 54 28 4 853
100116 1988 0.00236406619385343 1 125 52 35 2 846
100116 1990 0.00226244343891403 0 147 63 39 6 884
100116 1992 0.00258397932816537 0 146 89 28 5 774
100116 1994 0.00505050505050505 1 100 89 42 2 594
100201 1986 0 0 90 37 27 2 773
100201 1988 0 1 116 38 28 1 756
100201 1990 0 0 124 58 35 2 762
100201 1992 0.00233100233100233 0 144 80 54 2 858
100201 1994 0 0 149 72 64 2 742
100202 1986 0 0 70 18 22 2 773
100202 1988 0.00132275132275132 0 79 24 23 1 756
100202 1990 0 0 108 43 29 2 731
100202 1992 0.00130378096479791 0 128 102 50 3 767
100202 1994 0.00395778364116095 0 154 114 71 3 758
100203 1986 0.00175592625109745 0 132 31 12 1 1139
100203 1988 0 0 119 35 15 1 1194
100203 1990 0 0 172 57 21 1 1169
100203 1992 0.000797448165869219 0 208 111 53 1 1254
100203 1994 0 1 197 127 80 3 1183
100204 1986 0.00205761316872428 0 50 32 14 3 972
100204 1988 0.00106723585912487 0 64 44 14 1 937
100204 1990 0.00124069478908189 0 84 44 16 2 806
100204 1992 0.00137362637362637 0 103 52 20 2 728
100204 1994 0.00129366106080207 1 117 129 32 3 773
100206 1986 0 0 72 19 17 2 862
100206 1988 0 0 100 28 16 2 805
100206 1990 0.00122100122100122 0 125 36 23 2 819
100206 1992 0 0 158 46 47 3 859
100206 1994 0.00219058050383352 0 166 82 63 3 913
100208 1986 0.00119760479041916 0 47 17 21 2 835
100208 1988 0.00118203309692671 0 54 35 24 1 846
100208 1990 0.00139082058414465 0 95 59 20 2 719
100208 1992 0.00284900284900285 0 142 71 32 1 702
100208 1994 0 1 150 115 41 4 806
100209 1986 0 0 27 18 25 2 914
100209 1988 0.001085776330076 0 52 20 18 2 921
100209 1990 0 0 106 44 42 2 936
100209 1992 0.00114810562571757 0 113 71 55 3 871
100209 1994 0.00209863588667366 0 138 115 79 3 953
100210 1986 0 0 62 17 16 4 508
100210 1988 0 0 84 21 23 1 511
100210 1990 0 0 89 37 25 2 518
100210 1992 0 1 104 46 32 5 524
100210 1994 0 0 115 71 38 5 507
100211 1986 0 0 20 16 10 4 943
100211 1988 0 0 26 20 10 2 1128
100211 1990 0 0 43 25 18 2 620
100211 1992 0.00176678445229682 0 64 54 33 3 566
100211 1994 0 1 78 77 28 4 564
100301 1986 0.00218340611353712 1 86 31 22 3 916
100301 1988 0 1 120 44 14 1 820
100301 1990 0 0 72 45 18 1 393
100301 1992 0.00437636761487965 0 96 58 29 2 457
100301 1994 0.00625 0 98 68 42 5 480
100303 1986 0 0 73 16 10 2 585
100303 1988 0 0 91 22 12 2 577
100303 1990 0.00189035916824197 0 100 34 18 1 529
100303 1992 0.00194931773879142 0 109 56 27 2 513
100303 1994 0 0 114 76 34 4 548
100304 1986 0 0 69 26 13 2 596
100304 1988 0 1 74 27 15 1 585
100304 1990 0.00201612903225806 0 88 42 21 1 496
100304 1992 0 0 116 64 32 2 537
100304 1994 0.00178890876565295 0 121 74 35 3 559
100305 1986 0 0 39 18 14 2 640
100305 1988 0 0 54 17 12 1 522
100305 1990 0 0 67 37 23 1 508
100305 1992 0 0 92 43 33 1 550
